task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,object_detection,triton_t2_large_7,0,46,51
2,object_detection,triton_t2_large_6,0,71,75
3,object_detection,triton_t2_large_8,0,86,90
4,object_detection,triton_t2_large_1,0,115,120
6,object_detection,triton_t2_large_4,0,115,120
15,object_detection,triton_c5_2xlarge_2,0,115,120
17,object_detection,triton_t2_large_7,0,80,131
5,object_detection,triton_t2_large_3,0,127,132
7,object_detection,triton_t2_large_5,0,127,132
19,object_detection,triton_t2_large_8,0,50,145
18,object_detection,triton_t2_large_6,0,61,145
8,object_detection,triton_t2_large_2,0,148,153
16,object_detection,triton_c5_2xlarge_3,0,148,153
12,object_detection,triton_t2_large_16,0,160,165
14,object_detection,triton_c5_2xlarge_1,0,161,167
207,object_detection,triton_c5_2xlarge_2,0,48,169
10,object_detection,triton_t2_large_12,0,165,170
13,object_detection,triton_t2_large_13,0,165,171
11,object_detection,triton_t2_large_15,0,173,179
205,object_detection,triton_t2_large_1,0,59,179
9,object_detection,triton_t2_large_11,0,194,199
206,object_detection,triton_t2_large_4,0,79,199
21,object_detection,triton_t2_large_8,0,50,200
208,object_detection,triton_t2_large_7,0,69,200
20,object_detection,triton_t2_large_6,0,52,202
156,object_detection,triton_t2_large_2,0,81,234
157,object_detection,triton_c5_2xlarge_3,0,84,237
239,object_detection,triton_t2_large_5,0,105,238
238,object_detection,triton_t2_large_3,0,108,241
24,object_detection,triton_c5_2xlarge_2,0,75,247
27,object_detection,triton_t2_large_1,0,86,270
23,object_detection,triton_c5_2xlarge_1,0,105,276
209,object_detection,triton_t2_large_16,0,114,279
31,object_detection,triton_t2_large_6,0,74,279
32,object_detection,triton_t2_large_8,0,74,279
30,object_detection,triton_t2_large_7,0,78,283
25,object_detection,triton_t2_large_12,0,120,292
28,object_detection,triton_t2_large_4,0,96,301
22,object_detection,triton_t2_large_13,0,130,301
26,object_detection,triton_t2_large_15,0,121,304
33,object_detection,triton_t2_large_2,0,85,322
138,object_detection,triton_t2_large_6,0,44,324
139,object_detection,triton_t2_large_8,0,52,331
