task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
8,question_answering,triton_g4dn_xlarge_3,0,21,32
7,question_answering,triton_c5_2xlarge_1,0,33,44
3,question_answering,triton_t2_large_8,0,45,56
2,question_answering,triton_t2_large_6,0,49,60
10,image_classification,triton_g4dn_xlarge_3,0,36,68
59,question_answering,triton_g4dn_xlarge_3,0,7,76
9,object_detection,triton_g4dn_xlarge_4,0,68,79
707,question_answering,triton_g4dn_xlarge_3,0,6,82
6,object_detection,triton_t2_large_4,0,74,85
20,object_detection,triton_c5_2xlarge_1,0,43,87
235,question_answering,triton_t2_large_6,0,35,95
963,object_detection,triton_g4dn_xlarge_4,0,16,95
111,object_detection,triton_g4dn_xlarge_3,0,18,99
103,image_classification,triton_g4dn_xlarge_4,0,14,109
1,object_detection,triton_t2_large_7,0,99,109
431,object_detection,triton_c5_2xlarge_1,0,23,110
37,object_detection,triton_t2_large_8,0,56,112
5,image_classification,triton_t2_large_3,0,103,114
220,question_answering,triton_g4dn_xlarge_4,0,7,116
360,image_classification,triton_g4dn_xlarge_3,0,20,119
4,image_classification,triton_t2_large_1,0,112,122
323,question_answering,triton_t2_large_4,0,39,125
303,image_classification,triton_c5_2xlarge_1,0,29,141
573,object_detection,triton_g4dn_xlarge_4,0,31,148
339,object_detection,triton_t2_large_8,0,43,155
447,object_detection,triton_t2_large_3,0,43,158
752,speech_recognition,triton_g4dn_xlarge_3,0,38,158
574,question_answering,triton_c5_2xlarge_1,0,17,158
223,speech_recognition,triton_g4dn_xlarge_4,0,21,169
18,image_classification,triton_g4dn_xlarge_3,0,12,170
104,image_classification,triton_t2_large_6,0,80,175
221,image_classification,triton_t2_large_7,0,74,183
78,object_detection,triton_g4dn_xlarge_3,0,12,183
17,image_classification,triton_c5_2xlarge_1,0,30,188
79,question_answering,triton_g4dn_xlarge_3,0,5,188
976,speech_recognition,triton_g4dn_xlarge_4,0,20,189
523,object_detection,triton_g4dn_xlarge_3,0,12,201
567,object_detection,triton_g4dn_xlarge_4,0,13,203
872,question_answering,triton_t2_large_8,0,49,205
522,question_answering,triton_c5_2xlarge_1,0,16,205
568,question_answering,triton_g4dn_xlarge_3,0,5,206
990,image_classification,triton_t2_large_1,0,89,211
662,image_classification,triton_g4dn_xlarge_4,0,14,216
444,object_detection,triton_t2_large_6,0,41,216
847,image_classification,triton_g4dn_xlarge_3,0,11,217
751,question_answering,triton_c5_2xlarge_1,0,18,223
753,question_answering,triton_g4dn_xlarge_3,0,9,227
702,image_classification,triton_g4dn_xlarge_4,0,14,230
754,question_answering,triton_g4dn_xlarge_4,0,5,235
100,object_detection,triton_c5_2xlarge_1,0,20,242
750,question_answering,triton_t2_large_8,0,37,242
703,object_detection,triton_t2_large_6,0,31,248
248,object_detection,triton_g4dn_xlarge_4,0,19,255
489,speech_recognition,triton_g4dn_xlarge_3,0,27,255
761,image_classification,triton_g4dn_xlarge_4,0,11,266
760,image_classification,triton_g4dn_xlarge_3,0,12,267
799,question_answering,triton_g4dn_xlarge_4,0,5,271
773,image_classification,triton_c5_2xlarge_1,0,35,277
822,image_classification,triton_g4dn_xlarge_3,0,10,277
166,image_classification,triton_g4dn_xlarge_4,0,10,282
665,question_answering,triton_g4dn_xlarge_3,0,7,285
267,image_classification,triton_t2_large_1,0,73,285
46,object_detection,triton_g4dn_xlarge_4,0,13,294
