task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,object_detection,triton_t2_large_7,5,31,46
2,question_answering,triton_t2_large_6,6,31,46
3,question_answering,triton_t2_large_8,21,37,67
6,object_detection,triton_t2_large_4,48,44,101
7,question_answering,triton_t2_large_5,53,39,101
8,question_answering,triton_t2_large_2,59,33,102
4,image_classification,triton_t2_large_1,31,75,116
12,question_answering,triton_c5_2xlarge_1,86,21,117
13,speech_recognition,triton_g4dn_xlarge_3,87,21,117
9,object_detection,triton_t2_large_11,67,47,123
14,object_detection,triton_g4dn_xlarge_4,105,14,127
5,image_classification,triton_t2_large_3,44,83,136
15,speech_recognition,triton_g4dn_xlarge_1,106,22,137
10,image_classification,triton_t2_large_12,67,77,153
20,object_detection,triton_t2_large_3,150,32,191
17,image_classification,triton_t2_large_6,141,70,221
28,question_answering,triton_g4dn_xlarge_4,212,3,224
19,image_classification,triton_t2_large_1,146,75,230
18,image_classification,triton_t2_large_8,141,82,233
24,object_detection,triton_t2_large_11,196,28,233
26,question_answering,triton_c5_2xlarge_1,207,18,234
22,question_answering,triton_t2_large_5,188,38,236
27,speech_recognition,triton_g4dn_xlarge_3,210,19,238
29,speech_recognition,triton_g4dn_xlarge_1,230,22,261
23,image_classification,triton_t2_large_2,191,77,277
31,image_classification,triton_t2_large_8,261,69,341
32,image_classification,triton_t2_large_1,267,74,350
35,object_detection,triton_t2_large_2,320,46,375
34,image_classification,triton_t2_large_5,301,81,390
36,object_detection,triton_t2_large_11,361,32,402
38,image_classification,triton_g4dn_xlarge_3,390,8,407
39,object_detection,triton_g4dn_xlarge_4,393,10,413
40,image_classification,triton_g4dn_xlarge_1,399,8,416
46,object_detection,triton_g4dn_xlarge_3,426,14,449
47,object_detection,triton_g4dn_xlarge_4,432,11,452
48,object_detection,triton_g4dn_xlarge_1,433,12,455
37,object_detection,triton_c5_2xlarge_1,389,58,457
44,object_detection,triton_t2_large_2,413,38,460
42,image_classification,triton_t2_large_1,407,74,491
43,image_classification,triton_t2_large_5,412,70,491
51,object_detection,triton_g4dn_xlarge_3,481,10,500
52,object_detection,triton_g4dn_xlarge_4,482,12,503
49,object_detection,triton_t2_large_2,454,44,507
50,question_answering,triton_c5_2xlarge_1,480,18,508
45,image_classification,triton_t2_large_11,422,78,509
53,speech_recognition,triton_g4dn_xlarge_1,484,20,513
57,object_detection,triton_t2_large_11,515,26,550
59,question_answering,triton_g4dn_xlarge_3,539,3,551
60,object_detection,triton_g4dn_xlarge_4,539,10,558
58,object_detection,triton_c5_2xlarge_1,518,37,564
61,object_detection,triton_g4dn_xlarge_1,554,10,573
64,question_answering,triton_g4dn_xlarge_3,592,3,605
63,question_answering,triton_c5_2xlarge_1,591,18,619
66,object_detection,triton_g4dn_xlarge_1,613,10,632
65,speech_recognition,triton_g4dn_xlarge_4,610,18,638
62,image_classification,triton_t2_large_11,576,76,661
68,image_classification,triton_g4dn_xlarge_3,642,9,661
69,image_classification,triton_g4dn_xlarge_4,650,8,668
70,object_detection,triton_g4dn_xlarge_1,650,11,671
72,question_answering,triton_g4dn_xlarge_3,661,3,673
11,speech_recognition,triton_t2_large_15,72,595,676
74,object_detection,triton_g4dn_xlarge_1,671,10,690
73,speech_recognition,triton_g4dn_xlarge_4,666,18,694
16,speech_recognition,triton_t2_large_7,121,564,695
76,object_detection,triton_g4dn_xlarge_3,688,10,707
77,object_detection,triton_g4dn_xlarge_4,689,10,708
71,question_answering,triton_t2_large_11,659,41,709
78,object_detection,triton_g4dn_xlarge_1,692,10,712
81,question_answering,triton_g4dn_xlarge_3,711,3,723
21,speech_recognition,triton_t2_large_4,155,567,731
83,question_answering,triton_g4dn_xlarge_1,721,3,734
82,image_classification,triton_g4dn_xlarge_4,718,8,735
79,question_answering,triton_t2_large_7,695,38,742
86,image_classification,triton_g4dn_xlarge_4,753,7,770
85,speech_recognition,triton_g4dn_xlarge_3,748,18,776
25,speech_recognition,triton_t2_large_12,202,577,788
87,object_detection,triton_g4dn_xlarge_1,769,10,789
30,speech_recognition,triton_t2_large_6,245,557,811
84,image_classification,triton_t2_large_4,730,72,812
88,question_answering,triton_t2_large_7,779,30,818
90,object_detection,triton_g4dn_xlarge_3,808,9,827
67,speech_recognition,triton_c5_2xlarge_1,641,178,829
89,object_detection,triton_t2_large_12,796,32,838
33,speech_recognition,triton_t2_large_3,298,569,876
91,object_detection,triton_g4dn_xlarge_4,865,9,884
92,image_classification,triton_g4dn_xlarge_1,866,15,891
94,question_answering,triton_t2_large_6,897,33,939
93,object_detection,triton_t2_large_7,896,35,940
96,object_detection,triton_t2_large_4,916,40,966
99,image_classification,triton_g4dn_xlarge_3,950,8,968
98,question_answering,triton_c5_2xlarge_1,946,19,974
100,object_detection,triton_g4dn_xlarge_4,957,10,977
101,image_classification,triton_g4dn_xlarge_1,958,10,977
102,object_detection,triton_t2_large_7,965,26,1000
41,speech_recognition,triton_t2_large_8,406,591,1006
97,image_classification,triton_t2_large_12,934,68,1012
105,image_classification,triton_c5_2xlarge_1,988,27,1025
106,object_detection,triton_g4dn_xlarge_3,1014,10,1033
107,object_detection,triton_g4dn_xlarge_4,1016,9,1035
104,image_classification,triton_t2_large_4,977,73,1060
103,image_classification,triton_t2_large_6,976,79,1064
108,speech_recognition,triton_g4dn_xlarge_1,1042,19,1071
54,speech_recognition,triton_t2_large_1,504,573,1087
116,question_answering,triton_g4dn_xlarge_1,1076,3,1089
56,speech_recognition,triton_t2_large_2,510,570,1089
115,object_detection,triton_g4dn_xlarge_4,1073,9,1092
55,speech_recognition,triton_t2_large_5,507,576,1092
112,question_answering,triton_t2_large_12,1053,32,1096
113,object_detection,triton_c5_2xlarge_1,1061,30,1100
114,speech_recognition,triton_g4dn_xlarge_3,1072,19,1100
111,object_detection,triton_t2_large_4,1052,44,1105
118,object_detection,triton_t2_large_1,1093,31,1133
110,image_classification,triton_t2_large_8,1052,74,1135
109,image_classification,triton_t2_large_7,1052,75,1137
119,question_answering,triton_t2_large_4,1116,32,1158
117,image_classification,triton_t2_large_6,1089,66,1165
124,image_classification,triton_g4dn_xlarge_3,1151,8,1168
126,question_answering,triton_g4dn_xlarge_1,1160,4,1174
122,object_detection,triton_t2_large_12,1143,27,1179
123,image_classification,triton_c5_2xlarge_1,1150,25,1184
125,speech_recognition,triton_g4dn_xlarge_4,1160,18,1188
127,question_answering,triton_t2_large_7,1163,30,1203
120,image_classification,triton_t2_large_5,1126,73,1208
121,image_classification,triton_t2_large_2,1130,68,1208
128,question_answering,triton_t2_large_6,1166,33,1209
129,question_answering,triton_t2_large_8,1192,35,1238
130,object_detection,triton_t2_large_1,1206,31,1246
75,speech_recognition,triton_t2_large_15,678,587,1274
80,speech_recognition,triton_t2_large_11,703,569,1282
133,question_answering,triton_t2_large_2,1279,31,1320
132,image_classification,triton_t2_large_5,1240,77,1326
135,object_detection,triton_t2_large_12,1296,35,1340
138,speech_recognition,triton_g4dn_xlarge_3,1326,20,1356
139,question_answering,triton_g4dn_xlarge_4,1343,3,1358
137,object_detection,triton_c5_2xlarge_1,1307,48,1365
136,object_detection,triton_t2_large_15,1306,65,1381
140,object_detection,triton_g4dn_xlarge_1,1364,10,1385
142,object_detection,triton_t2_large_6,1372,31,1413
145,question_answering,triton_t2_large_5,1398,33,1441
147,question_answering,triton_t2_large_12,1408,35,1453
149,object_detection,triton_c5_2xlarge_1,1435,23,1468
144,image_classification,triton_t2_large_1,1398,73,1481
146,image_classification,triton_t2_large_2,1400,76,1486
150,speech_recognition,triton_g4dn_xlarge_3,1461,18,1489
95,speech_recognition,triton_t2_large_3,901,578,1489
151,speech_recognition,triton_g4dn_xlarge_4,1469,18,1497
152,image_classification,triton_g4dn_xlarge_1,1489,8,1506
154,question_answering,triton_t2_large_1,1522,36,1567
157,object_detection,triton_t2_large_2,1556,36,1602
156,object_detection,triton_t2_large_5,1556,38,1604
159,image_classification,triton_c5_2xlarge_1,1578,22,1610
155,image_classification,triton_t2_large_3,1523,78,1610
160,speech_recognition,triton_g4dn_xlarge_3,1596,19,1625
161,image_classification,triton_g4dn_xlarge_4,1617,8,1635
162,question_answering,triton_g4dn_xlarge_1,1624,3,1637
163,object_detection,triton_t2_large_1,1647,29,1686
164,question_answering,triton_t2_large_3,1650,32,1692
167,image_classification,triton_c5_2xlarge_1,1663,21,1695
168,speech_recognition,triton_g4dn_xlarge_3,1671,18,1699
169,speech_recognition,triton_g4dn_xlarge_4,1674,18,1703
170,image_classification,triton_g4dn_xlarge_1,1694,8,1712
165,image_classification,triton_t2_large_5,1652,69,1731
166,image_classification,triton_t2_large_2,1653,73,1736
171,question_answering,triton_t2_large_1,1723,39,1771
172,question_answering,triton_t2_large_3,1728,37,1776
178,question_answering,triton_g4dn_xlarge_1,1765,4,1779
177,question_answering,triton_g4dn_xlarge_4,1764,4,1779
173,object_detection,triton_t2_large_5,1734,35,1779
176,image_classification,triton_g4dn_xlarge_3,1764,8,1782
175,question_answering,triton_c5_2xlarge_1,1757,18,1785
131,speech_recognition,triton_t2_large_4,1229,577,1816
180,question_answering,triton_t2_large_3,1783,32,1825
174,image_classification,triton_t2_large_2,1753,69,1833
179,image_classification,triton_t2_large_1,1778,75,1863
134,speech_recognition,triton_t2_large_11,1292,563,1865
181,question_answering,triton_t2_large_4,1850,32,1892
182,image_classification,triton_t2_large_5,1854,68,1932
141,speech_recognition,triton_t2_large_7,1365,565,1940
186,speech_recognition,triton_g4dn_xlarge_3,1912,19,1941
185,object_detection,triton_c5_2xlarge_1,1908,22,1941
188,question_answering,triton_g4dn_xlarge_1,1929,3,1943
187,speech_recognition,triton_g4dn_xlarge_4,1920,18,1949
143,speech_recognition,triton_t2_large_8,1385,594,1989
190,question_answering,triton_t2_large_1,1953,32,1995
191,question_answering,triton_t2_large_3,1957,38,2006
195,image_classification,triton_g4dn_xlarge_3,2002,9,2020
148,speech_recognition,triton_t2_large_15,1419,592,2020
193,object_detection,triton_t2_large_5,1986,31,2027
194,object_detection,triton_c5_2xlarge_1,2000,23,2032
196,speech_recognition,triton_g4dn_xlarge_4,2012,18,2040
197,question_answering,triton_g4dn_xlarge_1,2040,3,2054
153,speech_recognition,triton_t2_large_6,1493,557,2060
198,question_answering,triton_t2_large_6,2054,42,2107
207,object_detection,triton_g4dn_xlarge_1,2116,11,2136
205,speech_recognition,triton_g4dn_xlarge_3,2106,21,2137
201,object_detection,triton_t2_large_3,2089,38,2137
206,speech_recognition,triton_g4dn_xlarge_4,2110,18,2138
204,image_classification,triton_c5_2xlarge_1,2106,22,2138
158,speech_recognition,triton_t2_large_12,1572,568,2149
209,question_answering,triton_g4dn_xlarge_3,2126,3,2151
208,question_answering,triton_t2_large_6,2119,29,2158
212,image_classification,triton_g4dn_xlarge_4,2143,8,2161
213,object_detection,triton_g4dn_xlarge_1,2143,11,2164
