task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,image_classification,triton_c5_2xlarge_1,8,30,165
3,image_classification,triton_c5_2xlarge_3,17,43,178
4,image_classification,triton_c5_2xlarge_5,35,42,181
5,image_classification,triton_c5_2xlarge_4,35,43,183
2,image_classification,triton_c5_2xlarge_2,11,48,184
7,image_classification,triton_c5_2xlarge_1,48,21,187
8,image_classification,triton_c5_2xlarge_3,65,30,208
6,image_classification,triton_c5_2xlarge_5,37,31,213
9,image_classification,triton_c5_2xlarge_4,67,31,215
11,image_classification,triton_c5_2xlarge_1,97,21,223
10,image_classification,triton_c5_2xlarge_2,75,39,224
13,image_classification,triton_c5_2xlarge_3,102,26,236
14,image_classification,triton_c5_2xlarge_5,103,27,241
15,image_classification,triton_c5_2xlarge_4,105,28,244
12,image_classification,triton_c5_2xlarge_1,100,21,244
16,image_classification,triton_c5_2xlarge_2,144,38,288
17,image_classification,triton_c5_2xlarge_3,161,36,302
18,image_classification,triton_c5_2xlarge_5,162,35,303
20,image_classification,triton_c5_2xlarge_1,183,21,309
19,image_classification,triton_c5_2xlarge_4,179,25,310
21,image_classification,triton_c5_2xlarge_2,188,38,331
22,image_classification,triton_c5_2xlarge_3,216,24,346
23,image_classification,triton_c5_2xlarge_5,233,24,363
25,image_classification,triton_c5_2xlarge_1,239,21,366
24,image_classification,triton_c5_2xlarge_4,238,24,368
27,image_classification,triton_c5_2xlarge_3,244,24,375
28,image_classification,triton_c5_2xlarge_5,247,24,388
26,image_classification,triton_c5_2xlarge_2,244,39,389
30,image_classification,triton_c5_2xlarge_1,263,22,391
29,image_classification,triton_c5_2xlarge_4,263,24,392
31,image_classification,triton_c5_2xlarge_3,272,23,401
33,image_classification,triton_c5_2xlarge_5,283,24,412
35,image_classification,triton_c5_2xlarge_1,288,21,415
34,image_classification,triton_c5_2xlarge_4,287,23,416
32,image_classification,triton_c5_2xlarge_2,282,38,428
36,image_classification,triton_c5_2xlarge_3,310,23,438
37,image_classification,triton_c5_2xlarge_5,350,24,480
38,image_classification,triton_c5_2xlarge_4,350,24,480
39,image_classification,triton_c5_2xlarge_1,372,21,500
