task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,image_classification,triton_g4dn_xlarge_3,8,17,74
2,image_classification,triton_g4dn_xlarge_4,11,17,74
3,image_classification,triton_g4dn_xlarge_1,17,28,86
5,image_classification,triton_g4dn_xlarge_3,35,19,93
6,image_classification,triton_g4dn_xlarge_4,37,20,95
7,image_classification,triton_g4dn_xlarge_1,48,11,97
4,image_classification,triton_g4dn_xlarge_2,35,34,98
8,image_classification,triton_g4dn_xlarge_3,65,8,101
9,image_classification,triton_g4dn_xlarge_4,67,8,105
10,image_classification,triton_g4dn_xlarge_1,75,8,113
11,image_classification,triton_g4dn_xlarge_2,97,8,136
12,image_classification,triton_g4dn_xlarge_3,100,9,138
13,image_classification,triton_g4dn_xlarge_4,102,10,141
14,image_classification,triton_g4dn_xlarge_1,103,10,142
15,image_classification,triton_g4dn_xlarge_2,105,8,145
16,image_classification,triton_g4dn_xlarge_3,144,8,181
17,image_classification,triton_g4dn_xlarge_4,161,9,201
18,image_classification,triton_g4dn_xlarge_1,162,10,202
19,image_classification,triton_g4dn_xlarge_2,179,8,217
20,image_classification,triton_g4dn_xlarge_3,183,8,221
21,image_classification,triton_g4dn_xlarge_4,188,8,226
22,image_classification,triton_g4dn_xlarge_1,216,8,253
23,image_classification,triton_g4dn_xlarge_2,233,8,272
24,image_classification,triton_g4dn_xlarge_3,238,14,281
25,image_classification,triton_g4dn_xlarge_4,239,13,282
26,image_classification,triton_g4dn_xlarge_1,244,16,290
27,image_classification,triton_g4dn_xlarge_2,244,16,290
28,image_classification,triton_g4dn_xlarge_3,247,13,295
29,image_classification,triton_g4dn_xlarge_4,263,10,303
30,image_classification,triton_g4dn_xlarge_1,263,10,304
31,image_classification,triton_g4dn_xlarge_2,272,8,310
32,image_classification,triton_g4dn_xlarge_3,282,8,320
33,image_classification,triton_g4dn_xlarge_4,283,8,321
34,image_classification,triton_g4dn_xlarge_1,287,8,325
35,image_classification,triton_g4dn_xlarge_2,288,8,326
36,image_classification,triton_g4dn_xlarge_3,310,8,348
37,image_classification,triton_g4dn_xlarge_4,350,15,395
38,image_classification,triton_g4dn_xlarge_1,350,15,395
39,image_classification,triton_g4dn_xlarge_2,372,8,410
40,image_classification,triton_g4dn_xlarge_3,381,8,419
41,image_classification,triton_g4dn_xlarge_4,394,8,433
42,image_classification,triton_g4dn_xlarge_1,404,9,442
43,image_classification,triton_g4dn_xlarge_2,413,16,459
44,image_classification,triton_g4dn_xlarge_3,413,16,460
45,image_classification,triton_g4dn_xlarge_4,416,14,460
46,image_classification,triton_g4dn_xlarge_1,424,8,462
47,image_classification,triton_g4dn_xlarge_2,438,8,477
48,image_classification,triton_g4dn_xlarge_3,441,8,480
49,image_classification,triton_g4dn_xlarge_4,444,8,483
50,image_classification,triton_g4dn_xlarge_1,464,8,502
51,image_classification,triton_g4dn_xlarge_2,500,8,539
52,image_classification,triton_g4dn_xlarge_3,522,8,561
