task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
2,image_classification,triton_t2_large_6,11,75,136
1,image_classification,triton_t2_large_7,8,76,137
3,image_classification,triton_t2_large_8,17,83,145
4,image_classification,triton_t2_large_1,35,77,145
5,image_classification,triton_t2_large_3,35,86,154
6,image_classification,triton_t2_large_4,37,90,160
7,image_classification,triton_t2_large_5,48,85,166
8,image_classification,triton_t2_large_2,65,83,180
9,image_classification,triton_t2_large_11,67,83,183
10,image_classification,triton_t2_large_12,75,88,195
11,image_classification,triton_t2_large_15,97,77,206
12,image_classification,triton_t2_large_16,100,85,218
14,image_classification,triton_t2_large_14,103,82,218
15,image_classification,triton_t2_large_10,105,86,223
13,image_classification,triton_t2_large_13,102,91,225
16,image_classification,triton_t2_large_7,144,77,254
17,image_classification,triton_t2_large_6,161,73,266
18,image_classification,triton_t2_large_8,162,83,278
20,image_classification,triton_t2_large_3,183,72,288
19,image_classification,triton_t2_large_1,179,79,290
21,image_classification,triton_t2_large_4,188,79,299
22,image_classification,triton_t2_large_5,216,77,325
23,image_classification,triton_t2_large_2,233,73,339
27,image_classification,triton_t2_large_16,244,71,349
24,image_classification,triton_t2_large_11,238,82,353
25,image_classification,triton_t2_large_12,239,83,355
26,image_classification,triton_t2_large_15,244,79,356
28,image_classification,triton_t2_large_13,247,79,358
29,image_classification,triton_t2_large_14,263,78,374
30,image_classification,triton_t2_large_10,263,81,377
31,image_classification,triton_t2_large_7,272,76,382
32,image_classification,triton_t2_large_6,282,71,386
33,image_classification,triton_t2_large_8,283,73,389
34,image_classification,triton_t2_large_1,287,70,390
35,image_classification,triton_t2_large_3,288,73,394
36,image_classification,triton_t2_large_4,310,73,416
38,image_classification,triton_t2_large_2,350,76,459
37,image_classification,triton_t2_large_5,350,78,461
39,image_classification,triton_t2_large_11,372,72,477
41,image_classification,triton_t2_large_15,394,71,498
42,image_classification,triton_t2_large_16,404,70,508
40,image_classification,triton_t2_large_12,381,98,512
45,image_classification,triton_t2_large_10,416,72,521
44,image_classification,triton_t2_large_14,413,79,525
43,image_classification,triton_t2_large_13,413,81,527
46,image_classification,triton_t2_large_7,424,72,530
47,image_classification,triton_t2_large_6,438,77,548
48,image_classification,triton_t2_large_8,441,75,549
49,image_classification,triton_t2_large_1,444,76,553
50,image_classification,triton_t2_large_3,464,77,575
51,image_classification,triton_t2_large_4,500,80,613
52,image_classification,triton_t2_large_5,522,78,633
53,image_classification,triton_t2_large_2,527,77,637
54,image_classification,triton_t2_large_11,536,75,644
55,image_classification,triton_t2_large_12,540,71,645
56,image_classification,triton_t2_large_15,544,71,649
57,image_classification,triton_t2_large_16,546,69,649
59,image_classification,triton_t2_large_14,549,74,657
58,image_classification,triton_t2_large_13,549,82,664
61,image_classification,triton_t2_large_7,561,72,667
60,image_classification,triton_t2_large_10,556,78,668
