task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,object_detection,triton_c5_2xlarge_1,8,38,96
4,object_detection,triton_c5_2xlarge_5,35,36,100
7,object_detection,triton_c5_2xlarge_1,48,19,115
3,object_detection,triton_c5_2xlarge_3,17,59,117
9,object_detection,triton_c5_2xlarge_5,67,20,120
5,object_detection,triton_c5_2xlarge_4,35,58,121
2,object_detection,triton_c5_2xlarge_2,11,76,133
10,object_detection,triton_c5_2xlarge_1,75,20,135
8,object_detection,triton_c5_2xlarge_5,65,20,141
14,object_detection,triton_c5_2xlarge_1,103,18,153
6,object_detection,triton_c5_2xlarge_3,37,38,156
11,object_detection,triton_c5_2xlarge_4,97,36,161
13,object_detection,triton_c5_2xlarge_5,102,19,161
12,object_detection,triton_c5_2xlarge_2,100,31,165
15,object_detection,triton_c5_2xlarge_1,105,16,171
16,object_detection,triton_c5_2xlarge_2,144,26,198
18,object_detection,triton_c5_2xlarge_5,162,20,210
17,object_detection,triton_c5_2xlarge_3,161,34,223
20,object_detection,triton_c5_2xlarge_1,183,17,229
19,object_detection,triton_c5_2xlarge_4,179,29,237
21,object_detection,triton_c5_2xlarge_2,188,24,241
22,object_detection,triton_c5_2xlarge_3,216,30,275
23,object_detection,triton_c5_2xlarge_5,233,20,282
25,object_detection,triton_c5_2xlarge_1,239,20,288
24,object_detection,triton_c5_2xlarge_4,238,28,294
26,object_detection,triton_c5_2xlarge_2,244,24,296
27,object_detection,triton_c5_2xlarge_3,244,28,303
28,object_detection,triton_c5_2xlarge_5,247,21,304
29,object_detection,triton_c5_2xlarge_1,263,16,308
30,object_detection,triton_c5_2xlarge_4,263,26,322
31,object_detection,triton_c5_2xlarge_2,272,22,324
33,object_detection,triton_c5_2xlarge_5,283,28,340
34,object_detection,triton_c5_2xlarge_1,287,25,341
35,object_detection,triton_c5_2xlarge_4,288,23,346
32,object_detection,triton_c5_2xlarge_3,282,36,347
36,object_detection,triton_c5_2xlarge_2,310,21,360
38,object_detection,triton_c5_2xlarge_5,350,21,401
37,object_detection,triton_c5_2xlarge_3,350,25,405
39,object_detection,triton_c5_2xlarge_4,372,22,423
40,object_detection,triton_c5_2xlarge_1,381,18,428
41,object_detection,triton_c5_2xlarge_2,394,23,447
42,object_detection,triton_c5_2xlarge_3,404,26,460
45,object_detection,triton_c5_2xlarge_1,416,25,469
44,object_detection,triton_c5_2xlarge_4,413,27,470
43,object_detection,triton_c5_2xlarge_5,413,27,470
46,object_detection,triton_c5_2xlarge_2,424,22,475
48,object_detection,triton_c5_2xlarge_5,441,20,490
47,object_detection,triton_c5_2xlarge_3,438,24,491
49,object_detection,triton_c5_2xlarge_4,444,21,494
50,object_detection,triton_c5_2xlarge_1,464,17,511
51,object_detection,triton_c5_2xlarge_2,500,20,551
52,object_detection,triton_c5_2xlarge_3,522,22,573
53,object_detection,triton_c5_2xlarge_5,527,24,580
55,object_detection,triton_c5_2xlarge_1,540,17,587
54,object_detection,triton_c5_2xlarge_4,536,22,588
56,object_detection,triton_c5_2xlarge_2,544,25,598
58,object_detection,triton_c5_2xlarge_5,549,19,600
57,object_detection,triton_c5_2xlarge_3,546,25,601
60,object_detection,triton_c5_2xlarge_1,556,18,606
59,object_detection,triton_c5_2xlarge_4,549,23,612
61,object_detection,triton_c5_2xlarge_2,561,22,620
62,object_detection,triton_c5_2xlarge_3,570,23,624
63,object_detection,triton_c5_2xlarge_5,580,18,628
64,object_detection,triton_c5_2xlarge_4,582,22,634
65,object_detection,triton_c5_2xlarge_1,609,16,655
66,object_detection,triton_c5_2xlarge_2,638,21,689
67,object_detection,triton_c5_2xlarge_3,647,24,701
68,object_detection,triton_c5_2xlarge_5,652,19,701
70,object_detection,triton_c5_2xlarge_1,659,19,708
69,object_detection,triton_c5_2xlarge_4,657,24,711
71,object_detection,triton_c5_2xlarge_2,662,21,713
72,object_detection,triton_c5_2xlarge_5,665,22,725
73,object_detection,triton_c5_2xlarge_3,667,25,728
74,object_detection,triton_c5_2xlarge_4,701,19,750
75,object_detection,triton_c5_2xlarge_1,732,16,778
76,object_detection,triton_c5_2xlarge_2,741,20,791
77,object_detection,triton_c5_2xlarge_3,755,21,806
78,object_detection,triton_c5_2xlarge_5,759,19,809
79,object_detection,triton_c5_2xlarge_4,760,22,813
80,object_detection,triton_c5_2xlarge_1,766,17,813
81,object_detection,triton_c5_2xlarge_2,773,19,823
82,object_detection,triton_c5_2xlarge_3,774,21,828
83,object_detection,triton_c5_2xlarge_5,781,19,830
84,object_detection,triton_c5_2xlarge_4,830,19,879
85,object_detection,triton_c5_2xlarge_1,835,16,882
86,object_detection,triton_c5_2xlarge_2,839,21,890
87,object_detection,triton_c5_2xlarge_3,855,22,908
88,object_detection,triton_c5_2xlarge_5,869,20,920
89,object_detection,triton_c5_2xlarge_4,873,20,923
90,object_detection,triton_c5_2xlarge_1,883,16,930
91,object_detection,triton_c5_2xlarge_2,891,21,942
93,object_detection,triton_c5_2xlarge_5,896,22,948
92,object_detection,triton_c5_2xlarge_3,895,24,949
94,object_detection,triton_c5_2xlarge_4,900,20,951
95,object_detection,triton_c5_2xlarge_1,906,23,959
96,object_detection,triton_c5_2xlarge_2,916,21,968
97,object_detection,triton_c5_2xlarge_3,919,26,975
98,object_detection,triton_c5_2xlarge_5,930,20,981
99,object_detection,triton_c5_2xlarge_4,932,20,983
100,object_detection,triton_c5_2xlarge_1,943,16,990
101,object_detection,triton_c5_2xlarge_2,958,21,1011
102,object_detection,triton_c5_2xlarge_3,973,20,1026
103,object_detection,triton_c5_2xlarge_5,982,21,1034
104,object_detection,triton_c5_2xlarge_4,986,19,1036
105,object_detection,triton_c5_2xlarge_1,998,17,1046
106,object_detection,triton_c5_2xlarge_2,1017,20,1068
107,object_detection,triton_c5_2xlarge_3,1027,20,1079
108,object_detection,triton_c5_2xlarge_5,1068,21,1120
109,object_detection,triton_c5_2xlarge_4,1105,19,1156
110,object_detection,triton_c5_2xlarge_1,1107,18,1157
111,object_detection,triton_c5_2xlarge_2,1107,22,1160
112,object_detection,triton_c5_2xlarge_3,1109,23,1164
113,object_detection,triton_c5_2xlarge_5,1135,19,1186
115,object_detection,triton_c5_2xlarge_1,1168,18,1217
114,object_detection,triton_c5_2xlarge_4,1165,23,1220
116,object_detection,triton_c5_2xlarge_2,1172,20,1223
117,object_detection,triton_c5_2xlarge_3,1180,20,1232
118,object_detection,triton_c5_2xlarge_5,1183,20,1235
119,object_detection,triton_c5_2xlarge_4,1190,20,1242
120,object_detection,triton_c5_2xlarge_1,1201,16,1249
121,object_detection,triton_c5_2xlarge_2,1208,19,1260
122,object_detection,triton_c5_2xlarge_3,1221,26,1279
125,object_detection,triton_c5_2xlarge_1,1233,16,1281
123,object_detection,triton_c5_2xlarge_5,1228,23,1282
124,object_detection,triton_c5_2xlarge_4,1228,24,1284
126,object_detection,triton_c5_2xlarge_2,1240,21,1293
128,object_detection,triton_c5_2xlarge_1,1250,21,1303
127,object_detection,triton_c5_2xlarge_3,1245,26,1305
129,object_detection,triton_c5_2xlarge_5,1257,20,1309
130,object_detection,triton_c5_2xlarge_4,1263,25,1320
132,object_detection,triton_c5_2xlarge_1,1267,16,1320
131,object_detection,triton_c5_2xlarge_2,1264,25,1321
133,object_detection,triton_c5_2xlarge_2,1295,22,1349
134,object_detection,triton_c5_2xlarge_3,1296,25,1353
135,object_detection,triton_c5_2xlarge_5,1296,25,1354
136,object_detection,triton_c5_2xlarge_4,1299,26,1356
137,object_detection,triton_c5_2xlarge_1,1308,18,1358
138,object_detection,triton_c5_2xlarge_2,1355,20,1408
139,object_detection,triton_c5_2xlarge_3,1404,19,1455
140,object_detection,triton_c5_2xlarge_5,1454,21,1507
141,object_detection,triton_c5_2xlarge_4,1455,21,1508
142,object_detection,triton_c5_2xlarge_1,1466,16,1514
143,object_detection,triton_c5_2xlarge_2,1474,21,1527
144,object_detection,triton_c5_2xlarge_3,1476,21,1529
145,object_detection,triton_c5_2xlarge_5,1504,19,1556
146,object_detection,triton_c5_2xlarge_4,1507,19,1559
147,object_detection,triton_c5_2xlarge_1,1575,17,1624
148,object_detection,triton_c5_2xlarge_2,1584,20,1637
149,object_detection,triton_c5_2xlarge_3,1586,19,1638
150,object_detection,triton_c5_2xlarge_5,1591,22,1645
151,object_detection,triton_c5_2xlarge_4,1593,21,1647
152,object_detection,triton_c5_2xlarge_1,1598,17,1647
153,object_detection,triton_c5_2xlarge_2,1607,19,1659
154,object_detection,triton_c5_2xlarge_3,1620,19,1671
155,object_detection,triton_c5_2xlarge_5,1627,19,1679
156,object_detection,triton_c5_2xlarge_4,1630,21,1683
157,object_detection,triton_c5_2xlarge_1,1639,16,1687
158,object_detection,triton_c5_2xlarge_2,1645,20,1698
159,object_detection,triton_c5_2xlarge_3,1649,20,1702
160,object_detection,triton_c5_2xlarge_5,1653,22,1707
161,object_detection,triton_c5_2xlarge_4,1656,19,1708
162,object_detection,triton_c5_2xlarge_1,1662,15,1710
163,object_detection,triton_c5_2xlarge_2,1668,20,1722
164,object_detection,triton_c5_2xlarge_3,1691,19,1743
165,object_detection,triton_c5_2xlarge_5,1704,20,1757
166,object_detection,triton_c5_2xlarge_4,1719,21,1774
167,object_detection,triton_c5_2xlarge_1,1724,17,1774
168,object_detection,triton_c5_2xlarge_2,1728,19,1780
169,object_detection,triton_c5_2xlarge_3,1739,23,1795
172,object_detection,triton_c5_2xlarge_1,1754,19,1806
170,object_detection,triton_c5_2xlarge_5,1751,21,1806
