task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,object_detection,triton_g4dn_xlarge_3,8,18,75
3,object_detection,triton_g4dn_xlarge_1,17,19,77
4,object_detection,triton_g4dn_xlarge_2,35,18,81
2,object_detection,triton_g4dn_xlarge_4,11,27,84
6,object_detection,triton_g4dn_xlarge_3,37,11,86
5,object_detection,triton_g4dn_xlarge_1,35,13,89
7,object_detection,triton_g4dn_xlarge_2,48,12,94
8,object_detection,triton_g4dn_xlarge_3,65,10,103
9,object_detection,triton_g4dn_xlarge_4,67,12,108
10,object_detection,triton_g4dn_xlarge_1,75,10,113
11,object_detection,triton_g4dn_xlarge_2,97,11,138
12,object_detection,triton_g4dn_xlarge_3,100,12,140
14,object_detection,triton_g4dn_xlarge_1,103,12,143
13,object_detection,triton_g4dn_xlarge_4,102,16,146
15,object_detection,triton_g4dn_xlarge_2,105,13,151
16,object_detection,triton_g4dn_xlarge_3,144,10,182
18,object_detection,triton_g4dn_xlarge_1,162,12,202
17,object_detection,triton_g4dn_xlarge_4,161,14,204
19,object_detection,triton_g4dn_xlarge_2,179,10,218
20,object_detection,triton_g4dn_xlarge_3,183,10,222
21,object_detection,triton_g4dn_xlarge_4,188,10,226
22,object_detection,triton_g4dn_xlarge_1,216,10,255
23,object_detection,triton_g4dn_xlarge_2,233,10,272
24,object_detection,triton_g4dn_xlarge_3,238,12,279
25,object_detection,triton_g4dn_xlarge_4,239,13,281
26,object_detection,triton_g4dn_xlarge_1,244,12,285
27,object_detection,triton_g4dn_xlarge_2,244,12,286
28,object_detection,triton_g4dn_xlarge_3,247,12,291
30,object_detection,triton_g4dn_xlarge_1,263,13,305
29,object_detection,triton_g4dn_xlarge_4,263,14,306
31,object_detection,triton_g4dn_xlarge_2,272,9,311
32,object_detection,triton_g4dn_xlarge_3,282,12,323
33,object_detection,triton_g4dn_xlarge_4,283,13,324
34,object_detection,triton_g4dn_xlarge_1,287,12,328
35,object_detection,triton_g4dn_xlarge_2,288,13,330
36,object_detection,triton_g4dn_xlarge_3,310,10,350
37,object_detection,triton_g4dn_xlarge_4,350,13,393
38,object_detection,triton_g4dn_xlarge_1,350,13,393
