task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,object_detection,triton_t2_large_7,8,36,97
3,object_detection,triton_t2_large_8,17,38,100
2,object_detection,triton_t2_large_6,11,41,103
6,object_detection,triton_t2_large_4,37,44,113
5,object_detection,triton_t2_large_3,35,47,115
7,object_detection,triton_t2_large_5,48,38,119
4,object_detection,triton_t2_large_1,35,64,132
8,object_detection,triton_t2_large_2,65,40,138
9,object_detection,triton_t2_large_11,67,48,148
10,object_detection,triton_t2_large_12,75,46,155
11,object_detection,triton_t2_large_15,97,41,170
12,object_detection,triton_t2_large_16,100,45,178
15,object_detection,triton_t2_large_10,105,45,183
14,object_detection,triton_t2_large_14,103,52,189
13,object_detection,triton_t2_large_13,102,60,196
16,object_detection,triton_t2_large_7,144,31,208
18,object_detection,triton_t2_large_8,162,33,228
17,object_detection,triton_t2_large_6,161,36,230
20,object_detection,triton_t2_large_3,183,36,252
19,object_detection,triton_t2_large_1,179,44,256
21,object_detection,triton_t2_large_4,188,36,257
22,object_detection,triton_t2_large_5,216,40,290
24,object_detection,triton_t2_large_11,238,29,300
23,object_detection,triton_t2_large_2,233,35,303
25,object_detection,triton_t2_large_12,239,39,311
26,object_detection,triton_t2_large_15,244,36,314
27,object_detection,triton_t2_large_16,244,39,317
28,object_detection,triton_t2_large_13,247,47,328
29,object_detection,triton_t2_large_14,263,43,340
31,object_detection,triton_t2_large_7,272,40,346
30,object_detection,triton_t2_large_10,263,49,346
32,object_detection,triton_t2_large_6,282,30,347
33,object_detection,triton_t2_large_8,283,34,352
35,object_detection,triton_t2_large_3,288,37,359
34,object_detection,triton_t2_large_1,287,42,363
36,object_detection,triton_t2_large_4,310,35,378
37,object_detection,triton_t2_large_5,350,28,412
38,object_detection,triton_t2_large_2,350,36,420
39,object_detection,triton_t2_large_11,372,29,435
40,object_detection,triton_t2_large_12,381,31,445
41,object_detection,triton_t2_large_15,394,28,456
42,object_detection,triton_t2_large_16,404,30,468
44,object_detection,triton_t2_large_14,413,36,483
43,object_detection,triton_t2_large_13,413,38,486
45,object_detection,triton_t2_large_10,416,37,487
46,object_detection,triton_t2_large_7,424,32,490
47,object_detection,triton_t2_large_6,438,28,500
48,object_detection,triton_t2_large_8,441,34,509
49,object_detection,triton_t2_large_1,444,44,523
50,object_detection,triton_t2_large_3,464,29,527
51,object_detection,triton_t2_large_4,500,34,569
52,object_detection,triton_t2_large_5,522,36,592
53,object_detection,triton_t2_large_2,527,36,597
54,object_detection,triton_t2_large_11,536,36,606
56,object_detection,triton_t2_large_15,544,29,608
57,object_detection,triton_t2_large_16,546,29,609
55,object_detection,triton_t2_large_12,540,42,616
59,object_detection,triton_t2_large_14,549,38,622
58,object_detection,triton_t2_large_13,549,40,623
60,object_detection,triton_t2_large_10,556,39,630
61,object_detection,triton_t2_large_7,561,34,630
62,object_detection,triton_t2_large_6,570,34,639
63,object_detection,triton_t2_large_8,580,28,642
64,object_detection,triton_t2_large_1,582,34,651
65,object_detection,triton_t2_large_3,609,27,671
66,object_detection,triton_t2_large_4,638,35,708
67,object_detection,triton_t2_large_5,647,28,709
68,object_detection,triton_t2_large_2,652,27,713
70,object_detection,triton_t2_large_12,659,31,724
69,object_detection,triton_t2_large_11,657,34,726
72,object_detection,triton_t2_large_16,665,31,731
71,object_detection,triton_t2_large_15,662,35,732
73,object_detection,triton_t2_large_13,667,36,738
74,object_detection,triton_t2_large_14,701,28,764
75,object_detection,triton_t2_large_10,732,36,803
76,object_detection,triton_t2_large_7,741,32,809
77,object_detection,triton_t2_large_6,755,28,818
78,object_detection,triton_t2_large_8,759,30,824
80,object_detection,triton_t2_large_3,766,30,831
79,object_detection,triton_t2_large_1,760,41,837
81,object_detection,triton_t2_large_4,773,31,840
82,object_detection,triton_t2_large_5,774,32,842
83,object_detection,triton_t2_large_2,781,30,846
84,object_detection,triton_t2_large_11,830,28,894
86,object_detection,triton_t2_large_15,839,30,905
85,object_detection,triton_t2_large_12,835,36,906
87,object_detection,triton_t2_large_16,855,38,929
89,object_detection,triton_t2_large_14,873,30,938
88,object_detection,triton_t2_large_13,869,35,940
90,object_detection,triton_t2_large_10,883,33,952
92,object_detection,triton_t2_large_6,895,30,961
93,object_detection,triton_t2_large_8,896,30,961
91,object_detection,triton_t2_large_7,891,34,961
95,object_detection,triton_t2_large_3,906,32,973
94,object_detection,triton_t2_large_1,900,39,974
96,object_detection,triton_t2_large_4,916,28,980
99,object_detection,triton_t2_large_11,932,29,997
98,object_detection,triton_t2_large_2,930,34,999
97,object_detection,triton_t2_large_5,919,51,1006
100,object_detection,triton_t2_large_12,943,33,1012
101,object_detection,triton_t2_large_15,958,34,1029
102,object_detection,triton_t2_large_16,973,27,1036
104,object_detection,triton_t2_large_14,986,27,1048
103,object_detection,triton_t2_large_13,982,32,1050
105,object_detection,triton_t2_large_10,998,35,1069
106,object_detection,triton_t2_large_7,1017,34,1087
107,object_detection,triton_t2_large_6,1027,30,1092
108,object_detection,triton_t2_large_8,1068,27,1130
111,object_detection,triton_t2_large_4,1107,29,1172
109,object_detection,triton_t2_large_1,1105,36,1176
110,object_detection,triton_t2_large_3,1107,33,1176
112,object_detection,triton_t2_large_5,1109,38,1183
113,object_detection,triton_t2_large_2,1135,31,1202
114,object_detection,triton_t2_large_11,1165,27,1229
115,object_detection,triton_t2_large_12,1168,33,1237
116,object_detection,triton_t2_large_15,1172,29,1237
118,object_detection,triton_t2_large_13,1183,27,1246
117,object_detection,triton_t2_large_16,1180,36,1252
119,object_detection,triton_t2_large_14,1190,36,1262
120,object_detection,triton_t2_large_10,1201,32,1270
121,object_detection,triton_t2_large_7,1208,36,1280
122,object_detection,triton_t2_large_6,1221,27,1284
123,object_detection,triton_t2_large_8,1228,28,1292
124,object_detection,triton_t2_large_1,1228,31,1296
125,object_detection,triton_t2_large_3,1233,29,1298
126,object_detection,triton_t2_large_4,1240,34,1310
128,object_detection,triton_t2_large_2,1250,27,1313
127,object_detection,triton_t2_large_5,1245,34,1316
129,object_detection,triton_t2_large_11,1257,27,1321
130,object_detection,triton_t2_large_12,1263,33,1333
131,object_detection,triton_t2_large_15,1264,37,1337
132,object_detection,triton_t2_large_16,1267,39,1342
133,object_detection,triton_t2_large_13,1295,28,1360
134,object_detection,triton_t2_large_14,1296,31,1364
135,object_detection,triton_t2_large_10,1296,32,1365
136,object_detection,triton_t2_large_7,1299,35,1370
137,object_detection,triton_t2_large_6,1308,32,1376
138,object_detection,triton_t2_large_8,1355,27,1418
139,object_detection,triton_t2_large_1,1404,28,1468
140,object_detection,triton_t2_large_3,1454,28,1519
141,object_detection,triton_t2_large_4,1455,39,1531
142,object_detection,triton_t2_large_5,1466,34,1537
143,object_detection,triton_t2_large_2,1474,27,1537
144,object_detection,triton_t2_large_11,1476,31,1543
145,object_detection,triton_t2_large_12,1504,29,1569
146,object_detection,triton_t2_large_15,1507,33,1577
147,object_detection,triton_t2_large_16,1575,29,1641
150,object_detection,triton_t2_large_10,1591,30,1657
148,object_detection,triton_t2_large_13,1584,38,1659
149,object_detection,triton_t2_large_14,1586,37,1659
152,object_detection,triton_t2_large_6,1598,26,1661
151,object_detection,triton_t2_large_7,1593,34,1664
153,object_detection,triton_t2_large_8,1607,26,1670
154,object_detection,triton_t2_large_1,1620,30,1687
155,object_detection,triton_t2_large_3,1627,40,1703
156,object_detection,triton_t2_large_4,1630,38,1705
157,object_detection,triton_t2_large_5,1639,31,1707
158,object_detection,triton_t2_large_2,1645,27,1709
159,object_detection,triton_t2_large_11,1649,26,1713
160,object_detection,triton_t2_large_12,1653,34,1725
161,object_detection,triton_t2_large_15,1656,38,1731
163,object_detection,triton_t2_large_13,1668,28,1733
162,object_detection,triton_t2_large_16,1662,35,1735
164,object_detection,triton_t2_large_14,1691,33,1761
165,object_detection,triton_t2_large_10,1704,29,1770
167,object_detection,triton_t2_large_6,1724,25,1787
166,object_detection,triton_t2_large_7,1719,36,1792
168,object_detection,triton_t2_large_8,1728,27,1792
169,object_detection,triton_t2_large_1,1739,35,1812
171,object_detection,triton_t2_large_4,1752,29,1818
170,object_detection,triton_t2_large_3,1751,36,1825
172,object_detection,triton_t2_large_5,1754,35,1827
173,object_detection,triton_t2_large_2,1760,31,1828
174,object_detection,triton_t2_large_11,1761,31,1830
175,object_detection,triton_t2_large_12,1794,44,1875
176,object_detection,triton_t2_large_15,1812,35,1884
177,object_detection,triton_t2_large_16,1820,35,1893
178,object_detection,triton_t2_large_13,1822,36,1896
179,object_detection,triton_t2_large_14,1823,37,1899
180,object_detection,triton_t2_large_10,1862,33,1933
181,object_detection,triton_t2_large_7,1874,32,1944
182,object_detection,triton_t2_large_6,1894,33,1965
183,object_detection,triton_t2_large_8,1899,28,1965
184,object_detection,triton_t2_large_1,1902,35,1975
185,object_detection,triton_t2_large_3,1905,33,1976
187,object_detection,triton_t2_large_5,1931,27,1995
186,object_detection,triton_t2_large_4,1925,34,1997
188,object_detection,triton_t2_large_2,1942,30,2011
189,object_detection,triton_t2_large_11,1959,32,2029
190,object_detection,triton_t2_large_12,1961,33,2032
191,object_detection,triton_t2_large_15,1962,33,2033
192,object_detection,triton_t2_large_16,1975,31,2044
193,object_detection,triton_t2_large_13,2008,32,2078
194,object_detection,triton_t2_large_14,2039,31,2109
195,object_detection,triton_t2_large_10,2046,34,2118
196,object_detection,triton_t2_large_7,2056,28,2123
197,object_detection,triton_t2_large_6,2069,29,2136
198,object_detection,triton_t2_large_8,2092,27,2158
199,object_detection,triton_t2_large_1,2094,32,2164
200,object_detection,triton_t2_large_3,2099,30,2168
201,object_detection,triton_t2_large_4,2104,27,2169
202,object_detection,triton_t2_large_5,2116,33,2187
203,object_detection,triton_t2_large_2,2122,30,2190
204,object_detection,triton_t2_large_11,2141,31,2210
206,object_detection,triton_t2_large_15,2161,29,2228
205,object_detection,triton_t2_large_12,2160,34,2233
207,object_detection,triton_t2_large_16,2164,30,2233
208,object_detection,triton_t2_large_13,2203,34,2275
209,object_detection,triton_t2_large_14,2204,35,2278
210,object_detection,triton_t2_large_10,2210,34,2283
211,object_detection,triton_t2_large_7,2241,36,2315
212,object_detection,triton_t2_large_6,2258,26,2323
213,object_detection,triton_t2_large_8,2261,26,2325
214,object_detection,triton_t2_large_1,2270,30,2338
215,object_detection,triton_t2_large_3,2276,26,2341
216,object_detection,triton_t2_large_4,2285,27,2351
217,object_detection,triton_t2_large_5,2307,29,2375
218,object_detection,triton_t2_large_2,2315,33,2387
219,object_detection,triton_t2_large_11,2322,33,2394
220,object_detection,triton_t2_large_12,2326,31,2396
221,object_detection,triton_t2_large_15,2329,33,2401
223,object_detection,triton_t2_large_13,2338,28,2405
222,object_detection,triton_t2_large_16,2337,39,2415
224,object_detection,triton_t2_large_14,2348,35,2421
225,object_detection,triton_t2_large_10,2364,35,2438
226,object_detection,triton_t2_large_7,2395,30,2464
228,object_detection,triton_t2_large_8,2413,39,2491
227,object_detection,triton_t2_large_6,2406,46,2492
229,object_detection,triton_t2_large_1,2419,35,2493
230,object_detection,triton_t2_large_3,2453,32,2523
232,object_detection,triton_t2_large_5,2461,26,2526
231,object_detection,triton_t2_large_4,2456,34,2529
234,object_detection,triton_t2_large_11,2507,29,2576
233,object_detection,triton_t2_large_2,2507,31,2578
236,object_detection,triton_t2_large_15,2519,35,2594
235,object_detection,triton_t2_large_12,2519,39,2598
238,object_detection,triton_t2_large_13,2524,44,2608
237,object_detection,triton_t2_large_16,2523,57,2620
241,object_detection,triton_t2_large_7,2528,73,2640
243,object_detection,triton_t2_large_8,2543,57,2640
239,object_detection,triton_t2_large_14,2525,76,2641
240,object_detection,triton_t2_large_10,2526,76,2642
244,object_detection,triton_t2_large_1,2561,42,2642
242,object_detection,triton_t2_large_6,2538,67,2645
245,object_detection,triton_t2_large_3,2564,57,2660
246,object_detection,triton_t2_large_4,2566,55,2661
247,object_detection,triton_t2_large_5,2579,43,2663
248,object_detection,triton_t2_large_2,2598,32,2670
249,object_detection,triton_t2_large_11,2606,27,2673
250,object_detection,triton_t2_large_12,2618,28,2686
251,object_detection,triton_t2_large_15,2628,33,2701
252,object_detection,triton_t2_large_16,2636,28,2704
253,object_detection,triton_t2_large_13,2656,33,2730
254,object_detection,triton_t2_large_14,2681,41,2762
256,object_detection,triton_t2_large_7,2703,28,2771
255,object_detection,triton_t2_large_10,2700,35,2775
258,object_detection,triton_t2_large_8,2729,27,2796
257,object_detection,triton_t2_large_6,2724,34,2797
259,object_detection,triton_t2_large_1,2742,29,2812
261,object_detection,triton_t2_large_4,2750,31,2821
260,object_detection,triton_t2_large_3,2748,38,2826
262,object_detection,triton_t2_large_5,2762,27,2829
263,object_detection,triton_t2_large_2,2765,34,2838
264,object_detection,triton_t2_large_11,2784,34,2858
265,object_detection,triton_t2_large_12,2801,35,2877
266,object_detection,triton_t2_large_15,2809,33,2882
267,object_detection,triton_t2_large_16,2814,36,2890
268,object_detection,triton_t2_large_13,2823,28,2891
269,object_detection,triton_t2_large_14,2824,33,2898
270,object_detection,triton_t2_large_10,2841,31,2912
271,object_detection,triton_t2_large_7,2874,32,2947
272,object_detection,triton_t2_large_6,2890,27,2957
273,object_detection,triton_t2_large_8,2892,27,2959
274,object_detection,triton_t2_large_1,2912,37,2990
275,object_detection,triton_t2_large_3,2929,31,3000
276,object_detection,triton_t2_large_4,2930,35,3005
277,object_detection,triton_t2_large_5,2932,35,3007
279,object_detection,triton_t2_large_11,2943,34,3017
278,object_detection,triton_t2_large_2,2941,35,3017
280,object_detection,triton_t2_large_12,2954,29,3024
281,object_detection,triton_t2_large_15,3003,27,3071
282,object_detection,triton_t2_large_16,3006,29,3075
283,object_detection,triton_t2_large_13,3020,33,3095
284,object_detection,triton_t2_large_14,3021,33,3095
285,object_detection,triton_t2_large_10,3025,40,3106
286,object_detection,triton_t2_large_7,3054,28,3124
287,object_detection,triton_t2_large_6,3064,34,3138
288,object_detection,triton_t2_large_8,3073,31,3145
291,object_detection,triton_t2_large_4,3101,37,3179
290,object_detection,triton_t2_large_3,3101,38,3180
289,object_detection,triton_t2_large_1,3099,43,3182
293,object_detection,triton_t2_large_2,3111,40,3192
292,object_detection,triton_t2_large_5,3104,47,3192
294,object_detection,triton_t2_large_11,3118,34,3193
295,object_detection,triton_t2_large_12,3134,41,3216
296,object_detection,triton_t2_large_15,3154,35,3230
297,object_detection,triton_t2_large_16,3156,37,3234
299,object_detection,triton_t2_large_14,3167,35,3242
301,object_detection,triton_t2_large_7,3168,34,3243
300,object_detection,triton_t2_large_10,3168,39,3248
298,object_detection,triton_t2_large_13,3162,52,3255
302,object_detection,triton_t2_large_6,3183,33,3258
303,object_detection,triton_t2_large_8,3187,31,3259
304,object_detection,triton_t2_large_1,3199,34,3274
307,object_detection,triton_t2_large_5,3208,32,3281
306,object_detection,triton_t2_large_4,3206,34,3282
308,object_detection,triton_t2_large_2,3212,39,3292
305,object_detection,triton_t2_large_3,3205,46,3293
311,object_detection,triton_t2_large_15,3229,31,3303
309,object_detection,triton_t2_large_11,3229,35,3306
312,object_detection,triton_t2_large_16,3238,28,3308
310,object_detection,triton_t2_large_12,3229,51,3322
313,object_detection,triton_t2_large_13,3249,32,3323
314,object_detection,triton_t2_large_14,3262,32,3335
316,object_detection,triton_t2_large_7,3273,37,3351
315,object_detection,triton_t2_large_10,3269,49,3359
317,object_detection,triton_t2_large_6,3292,30,3364
318,object_detection,triton_t2_large_8,3298,27,3366
322,object_detection,triton_t2_large_5,3304,31,3378
321,object_detection,triton_t2_large_4,3303,35,3381
320,object_detection,triton_t2_large_3,3302,49,3393
319,object_detection,triton_t2_large_1,3302,53,3397
323,object_detection,triton_t2_large_2,3316,40,3398
324,object_detection,triton_t2_large_11,3327,29,3398
325,object_detection,triton_t2_large_12,3330,45,3417
326,object_detection,triton_t2_large_15,3340,40,3421
327,object_detection,triton_t2_large_16,3341,43,3426
329,object_detection,triton_t2_large_14,3362,35,3438
328,object_detection,triton_t2_large_13,3361,37,3439
330,object_detection,triton_t2_large_10,3364,38,3443
331,object_detection,triton_t2_large_7,3371,31,3444
332,object_detection,triton_t2_large_6,3386,36,3464
333,object_detection,triton_t2_large_8,3405,29,3476
335,object_detection,triton_t2_large_3,3408,34,3484
334,object_detection,triton_t2_large_1,3407,36,3485
336,object_detection,triton_t2_large_4,3424,30,3496
337,object_detection,triton_t2_large_5,3432,26,3501
338,object_detection,triton_t2_large_2,3447,39,3528
339,object_detection,triton_t2_large_11,3472,30,3546
340,object_detection,triton_t2_large_12,3479,36,3558
341,object_detection,triton_t2_large_15,3485,34,3562
342,object_detection,triton_t2_large_16,3494,37,3573
343,object_detection,triton_t2_large_13,3503,33,3579
344,object_detection,triton_t2_large_14,3510,33,3586
345,object_detection,triton_t2_large_10,3514,35,3591
346,object_detection,triton_t2_large_7,3522,32,3597
347,object_detection,triton_t2_large_6,3548,34,3625
348,object_detection,triton_t2_large_8,3583,27,3653
349,object_detection,triton_t2_large_1,3588,33,3664
350,object_detection,triton_t2_large_3,3604,45,3692
352,object_detection,triton_t2_large_5,3617,39,3699
351,object_detection,triton_t2_large_4,3614,44,3700
353,object_detection,triton_t2_large_2,3617,40,3700
355,object_detection,triton_t2_large_12,3619,43,3707
354,object_detection,triton_t2_large_11,3617,54,3715
356,object_detection,triton_t2_large_15,3621,53,3718
358,object_detection,triton_t2_large_13,3642,36,3721
357,object_detection,triton_t2_large_16,3639,43,3725
359,object_detection,triton_t2_large_14,3657,32,3732
360,object_detection,triton_t2_large_10,3664,37,3744
361,object_detection,triton_t2_large_7,3666,35,3744
362,object_detection,triton_t2_large_6,3681,30,3753
363,object_detection,triton_t2_large_8,3706,31,3779
364,object_detection,triton_t2_large_1,3735,36,3814
365,object_detection,triton_t2_large_3,3747,30,3820
366,object_detection,triton_t2_large_4,3759,31,3833
367,object_detection,triton_t2_large_5,3767,34,3844
368,object_detection,triton_t2_large_2,3772,36,3852
370,object_detection,triton_t2_large_12,3813,31,3887
369,object_detection,triton_t2_large_11,3812,36,3891
371,object_detection,triton_t2_large_15,3836,32,3911
372,object_detection,triton_t2_large_16,3839,31,3913
373,object_detection,triton_t2_large_13,3847,28,3918
374,object_detection,triton_t2_large_14,3854,36,3933
375,object_detection,triton_t2_large_10,3862,38,3943
377,object_detection,triton_t2_large_6,3875,38,3956
378,object_detection,triton_t2_large_8,3878,37,3959
376,object_detection,triton_t2_large_7,3873,43,3960
380,object_detection,triton_t2_large_3,3880,39,3963
381,object_detection,triton_t2_large_4,3908,32,3984
382,object_detection,triton_t2_large_5,3912,29,3985
379,object_detection,triton_t2_large_1,3880,67,3990
384,object_detection,triton_t2_large_11,3918,29,3991
383,object_detection,triton_t2_large_2,3913,36,3993
385,object_detection,triton_t2_large_12,3923,35,4001
387,object_detection,triton_t2_large_16,3937,36,4016
386,object_detection,triton_t2_large_15,3934,40,4018
388,object_detection,triton_t2_large_13,3948,32,4023
389,object_detection,triton_t2_large_14,3949,33,4026
392,object_detection,triton_t2_large_6,3966,31,4040
391,object_detection,triton_t2_large_7,3958,43,4045
393,object_detection,triton_t2_large_8,3974,28,4046
390,object_detection,triton_t2_large_10,3957,48,4049
394,object_detection,triton_t2_large_1,3977,39,4060
396,object_detection,triton_t2_large_4,3984,35,4063
395,object_detection,triton_t2_large_3,3983,37,4064
398,object_detection,triton_t2_large_2,3993,32,4070
397,object_detection,triton_t2_large_5,3993,36,4073
399,object_detection,triton_t2_large_11,4000,32,4076
400,object_detection,triton_t2_large_12,4007,34,4085
401,object_detection,triton_t2_large_15,4007,38,4089
402,object_detection,triton_t2_large_16,4037,29,4110
403,object_detection,triton_t2_large_13,4047,29,4120
404,object_detection,triton_t2_large_14,4058,37,4140
405,object_detection,triton_t2_large_10,4064,32,4141
407,object_detection,triton_t2_large_6,4078,26,4149
406,object_detection,triton_t2_large_7,4076,36,4156
408,object_detection,triton_t2_large_8,4089,27,4161
409,object_detection,triton_t2_large_1,4097,44,4184
410,object_detection,triton_t2_large_3,4128,37,4209
411,object_detection,triton_t2_large_4,4144,34,4222
412,object_detection,triton_t2_large_5,4153,30,4227
