task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,question_answering,triton_c5_2xlarge_1,8,16,75
4,question_answering,triton_c5_2xlarge_5,35,16,80
2,question_answering,triton_c5_2xlarge_2,11,23,81
3,question_answering,triton_c5_2xlarge_3,17,23,82
5,question_answering,triton_c5_2xlarge_4,35,22,86
6,question_answering,triton_c5_2xlarge_1,37,13,87
7,question_answering,triton_c5_2xlarge_5,48,13,93
9,question_answering,triton_c5_2xlarge_1,67,13,109
8,question_answering,triton_c5_2xlarge_4,65,19,113
10,question_answering,triton_c5_2xlarge_2,75,19,123
12,question_answering,triton_c5_2xlarge_5,100,13,142
14,question_answering,triton_c5_2xlarge_1,103,12,144
11,question_answering,triton_c5_2xlarge_3,97,19,145
13,question_answering,triton_c5_2xlarge_4,102,19,150
15,question_answering,triton_c5_2xlarge_2,105,19,153
16,question_answering,triton_c5_2xlarge_3,144,19,193
17,question_answering,triton_c5_2xlarge_5,161,13,204
18,question_answering,triton_c5_2xlarge_4,162,19,210
19,question_answering,triton_c5_2xlarge_1,179,13,221
20,question_answering,triton_c5_2xlarge_2,183,19,231
21,question_answering,triton_c5_2xlarge_3,188,19,236
22,question_answering,triton_c5_2xlarge_5,216,13,259
24,question_answering,triton_c5_2xlarge_1,238,12,280
23,question_answering,triton_c5_2xlarge_4,233,19,281
25,question_answering,triton_c5_2xlarge_2,239,19,287
27,question_answering,triton_c5_2xlarge_5,244,13,287
28,question_answering,triton_c5_2xlarge_1,247,13,293
26,question_answering,triton_c5_2xlarge_3,244,20,294
30,question_answering,triton_c5_2xlarge_5,263,13,306
29,question_answering,triton_c5_2xlarge_2,263,20,312
31,question_answering,triton_c5_2xlarge_4,272,19,320
32,question_answering,triton_c5_2xlarge_1,282,13,325
33,question_answering,triton_c5_2xlarge_2,283,19,332
35,question_answering,triton_c5_2xlarge_5,288,13,332
34,question_answering,triton_c5_2xlarge_3,287,19,336
36,question_answering,triton_c5_2xlarge_4,310,19,359
37,question_answering,triton_c5_2xlarge_1,350,13,393
38,question_answering,triton_c5_2xlarge_2,350,19,400
39,question_answering,triton_c5_2xlarge_3,372,19,421
40,question_answering,triton_c5_2xlarge_5,381,13,424
41,question_answering,triton_c5_2xlarge_4,394,20,444
42,question_answering,triton_c5_2xlarge_1,404,13,448
45,question_answering,triton_c5_2xlarge_5,416,13,459
43,question_answering,triton_c5_2xlarge_2,413,20,463
44,question_answering,triton_c5_2xlarge_3,413,19,463
46,question_answering,triton_c5_2xlarge_4,424,19,473
47,question_answering,triton_c5_2xlarge_1,438,13,481
48,question_answering,triton_c5_2xlarge_2,441,19,490
49,question_answering,triton_c5_2xlarge_3,444,19,493
