task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,question_answering,triton_g4dn_xlarge_3,8,6,66
2,question_answering,triton_g4dn_xlarge_4,11,7,67
3,question_answering,triton_g4dn_xlarge_1,17,7,68
4,question_answering,triton_g4dn_xlarge_2,35,5,71
6,question_answering,triton_g4dn_xlarge_3,37,4,71
5,question_answering,triton_g4dn_xlarge_4,35,4,72
7,question_answering,triton_g4dn_xlarge_1,48,4,82
8,question_answering,triton_g4dn_xlarge_2,65,4,100
9,question_answering,triton_g4dn_xlarge_3,67,4,101
10,question_answering,triton_g4dn_xlarge_4,75,4,109
11,question_answering,triton_g4dn_xlarge_1,97,4,132
12,question_answering,triton_g4dn_xlarge_2,100,4,134
13,question_answering,triton_g4dn_xlarge_3,102,4,136
14,question_answering,triton_g4dn_xlarge_4,103,4,137
15,question_answering,triton_g4dn_xlarge_1,105,4,139
16,question_answering,triton_g4dn_xlarge_2,144,4,178
17,question_answering,triton_g4dn_xlarge_3,161,4,197
18,question_answering,triton_g4dn_xlarge_4,162,4,197
19,question_answering,triton_g4dn_xlarge_1,179,4,213
20,question_answering,triton_g4dn_xlarge_2,183,4,217
21,question_answering,triton_g4dn_xlarge_3,188,4,223
22,question_answering,triton_g4dn_xlarge_4,216,4,251
23,question_answering,triton_g4dn_xlarge_1,233,4,270
24,question_answering,triton_g4dn_xlarge_2,238,4,273
25,question_answering,triton_g4dn_xlarge_3,239,4,274
26,question_answering,triton_g4dn_xlarge_4,244,4,279
27,question_answering,triton_g4dn_xlarge_1,244,4,279
28,question_answering,triton_g4dn_xlarge_2,247,4,281
29,question_answering,triton_g4dn_xlarge_3,263,4,300
30,question_answering,triton_g4dn_xlarge_4,263,4,300
31,question_answering,triton_g4dn_xlarge_1,272,4,307
32,question_answering,triton_g4dn_xlarge_2,282,4,317
33,question_answering,triton_g4dn_xlarge_3,283,4,318
34,question_answering,triton_g4dn_xlarge_4,287,4,322
35,question_answering,triton_g4dn_xlarge_1,288,4,323
36,question_answering,triton_g4dn_xlarge_2,310,4,346
37,question_answering,triton_g4dn_xlarge_3,350,4,387
38,question_answering,triton_g4dn_xlarge_4,350,4,387
39,question_answering,triton_g4dn_xlarge_1,372,4,408
40,question_answering,triton_g4dn_xlarge_2,381,4,417
41,question_answering,triton_g4dn_xlarge_3,394,4,431
42,question_answering,triton_g4dn_xlarge_4,404,4,439
43,question_answering,triton_g4dn_xlarge_1,413,5,449
44,question_answering,triton_g4dn_xlarge_2,413,5,449
45,question_answering,triton_g4dn_xlarge_3,416,4,451
46,question_answering,triton_g4dn_xlarge_4,424,4,459
47,question_answering,triton_g4dn_xlarge_1,438,4,474
48,question_answering,triton_g4dn_xlarge_2,441,4,476
49,question_answering,triton_g4dn_xlarge_3,444,4,480
50,question_answering,triton_g4dn_xlarge_4,464,4,500
51,question_answering,triton_g4dn_xlarge_1,500,4,536
52,question_answering,triton_g4dn_xlarge_2,522,4,558
53,question_answering,triton_g4dn_xlarge_3,527,4,563
54,question_answering,triton_g4dn_xlarge_4,536,4,572
55,question_answering,triton_g4dn_xlarge_1,540,4,576
56,question_answering,triton_g4dn_xlarge_2,544,4,580
57,question_answering,triton_g4dn_xlarge_3,546,5,583
58,question_answering,triton_g4dn_xlarge_4,549,4,585
59,question_answering,triton_g4dn_xlarge_1,549,4,586
60,question_answering,triton_g4dn_xlarge_2,556,4,592
61,question_answering,triton_g4dn_xlarge_3,561,4,597
62,question_answering,triton_g4dn_xlarge_4,570,4,606
63,question_answering,triton_g4dn_xlarge_1,580,4,616
64,question_answering,triton_g4dn_xlarge_2,582,4,618
65,question_answering,triton_g4dn_xlarge_3,609,4,644
66,question_answering,triton_g4dn_xlarge_4,638,4,674
67,question_answering,triton_g4dn_xlarge_1,647,4,683
68,question_answering,triton_g4dn_xlarge_2,652,4,688
69,question_answering,triton_g4dn_xlarge_3,657,4,693
70,question_answering,triton_g4dn_xlarge_4,659,4,695
71,question_answering,triton_g4dn_xlarge_1,662,4,698
72,question_answering,triton_g4dn_xlarge_2,665,4,702
73,question_answering,triton_g4dn_xlarge_3,667,4,703
74,question_answering,triton_g4dn_xlarge_4,701,4,737
75,question_answering,triton_g4dn_xlarge_1,732,4,769
76,question_answering,triton_g4dn_xlarge_2,741,4,778
77,question_answering,triton_g4dn_xlarge_3,755,4,792
78,question_answering,triton_g4dn_xlarge_4,759,4,796
79,question_answering,triton_g4dn_xlarge_1,760,4,797
80,question_answering,triton_g4dn_xlarge_2,766,4,803
81,question_answering,triton_g4dn_xlarge_3,773,4,809
82,question_answering,triton_g4dn_xlarge_4,774,4,810
83,question_answering,triton_g4dn_xlarge_1,781,4,818
84,question_answering,triton_g4dn_xlarge_2,830,4,866
85,question_answering,triton_g4dn_xlarge_3,835,4,872
86,question_answering,triton_g4dn_xlarge_4,839,4,875
87,question_answering,triton_g4dn_xlarge_1,855,4,892
88,question_answering,triton_g4dn_xlarge_2,869,4,906
89,question_answering,triton_g4dn_xlarge_3,873,4,910
90,question_answering,triton_g4dn_xlarge_4,883,4,920
91,question_answering,triton_g4dn_xlarge_1,891,4,928
92,question_answering,triton_g4dn_xlarge_2,895,4,931
93,question_answering,triton_g4dn_xlarge_3,896,4,932
94,question_answering,triton_g4dn_xlarge_4,900,4,936
95,question_answering,triton_g4dn_xlarge_1,906,4,943
96,question_answering,triton_g4dn_xlarge_2,916,4,954
97,question_answering,triton_g4dn_xlarge_3,919,4,956
98,question_answering,triton_g4dn_xlarge_4,930,4,967
99,question_answering,triton_g4dn_xlarge_1,932,4,969
100,question_answering,triton_g4dn_xlarge_2,943,4,980
101,question_answering,triton_g4dn_xlarge_3,958,4,996
102,question_answering,triton_g4dn_xlarge_4,973,4,1010
103,question_answering,triton_g4dn_xlarge_1,982,4,1020
104,question_answering,triton_g4dn_xlarge_2,986,4,1023
105,question_answering,triton_g4dn_xlarge_3,998,4,1035
106,question_answering,triton_g4dn_xlarge_4,1017,4,1054
107,question_answering,triton_g4dn_xlarge_1,1027,4,1065
108,question_answering,triton_g4dn_xlarge_2,1068,4,1106
109,question_answering,triton_g4dn_xlarge_3,1105,5,1143
110,question_answering,triton_g4dn_xlarge_4,1107,4,1145
111,question_answering,triton_g4dn_xlarge_1,1107,4,1146
112,question_answering,triton_g4dn_xlarge_2,1109,4,1147
113,question_answering,triton_g4dn_xlarge_3,1135,4,1173
114,question_answering,triton_g4dn_xlarge_4,1165,4,1202
115,question_answering,triton_g4dn_xlarge_1,1168,4,1206
116,question_answering,triton_g4dn_xlarge_2,1172,4,1210
117,question_answering,triton_g4dn_xlarge_3,1180,4,1218
118,question_answering,triton_g4dn_xlarge_4,1183,4,1220
119,question_answering,triton_g4dn_xlarge_1,1190,4,1227
120,question_answering,triton_g4dn_xlarge_2,1201,4,1238
121,question_answering,triton_g4dn_xlarge_3,1208,4,1246
122,question_answering,triton_g4dn_xlarge_4,1221,4,1260
123,question_answering,triton_g4dn_xlarge_1,1228,4,1266
124,question_answering,triton_g4dn_xlarge_2,1228,4,1266
125,question_answering,triton_g4dn_xlarge_3,1233,4,1270
126,question_answering,triton_g4dn_xlarge_4,1240,4,1277
127,question_answering,triton_g4dn_xlarge_1,1245,4,1283
128,question_answering,triton_g4dn_xlarge_2,1250,4,1288
129,question_answering,triton_g4dn_xlarge_3,1257,4,1294
130,question_answering,triton_g4dn_xlarge_4,1263,4,1300
131,question_answering,triton_g4dn_xlarge_1,1264,4,1303
132,question_answering,triton_g4dn_xlarge_2,1267,4,1305
133,question_answering,triton_g4dn_xlarge_3,1295,4,1332
134,question_answering,triton_g4dn_xlarge_4,1296,4,1335
135,question_answering,triton_g4dn_xlarge_1,1296,4,1335
136,question_answering,triton_g4dn_xlarge_2,1299,4,1337
137,question_answering,triton_g4dn_xlarge_3,1308,4,1347
138,question_answering,triton_g4dn_xlarge_4,1355,4,1393
139,question_answering,triton_g4dn_xlarge_1,1404,4,1443
140,question_answering,triton_g4dn_xlarge_2,1454,4,1492
141,question_answering,triton_g4dn_xlarge_3,1455,4,1493
142,question_answering,triton_g4dn_xlarge_4,1466,4,1505
143,question_answering,triton_g4dn_xlarge_1,1474,4,1513
144,question_answering,triton_g4dn_xlarge_2,1476,4,1515
145,question_answering,triton_g4dn_xlarge_3,1504,4,1543
146,question_answering,triton_g4dn_xlarge_4,1507,4,1545
147,question_answering,triton_g4dn_xlarge_1,1575,4,1614
148,question_answering,triton_g4dn_xlarge_2,1584,4,1623
149,question_answering,triton_g4dn_xlarge_3,1586,4,1625
150,question_answering,triton_g4dn_xlarge_4,1591,4,1630
151,question_answering,triton_g4dn_xlarge_1,1593,4,1632
152,question_answering,triton_g4dn_xlarge_2,1598,4,1637
153,question_answering,triton_g4dn_xlarge_3,1607,4,1646
154,question_answering,triton_g4dn_xlarge_4,1620,4,1659
155,question_answering,triton_g4dn_xlarge_1,1627,4,1666
156,question_answering,triton_g4dn_xlarge_2,1630,4,1668
157,question_answering,triton_g4dn_xlarge_3,1639,4,1678
158,question_answering,triton_g4dn_xlarge_4,1645,4,1683
159,question_answering,triton_g4dn_xlarge_1,1649,4,1688
160,question_answering,triton_g4dn_xlarge_2,1653,4,1692
161,question_answering,triton_g4dn_xlarge_3,1656,4,1695
162,question_answering,triton_g4dn_xlarge_4,1662,4,1701
163,question_answering,triton_g4dn_xlarge_1,1668,4,1707
164,question_answering,triton_g4dn_xlarge_2,1691,4,1730
165,question_answering,triton_g4dn_xlarge_3,1704,4,1744
166,question_answering,triton_g4dn_xlarge_4,1719,4,1758
167,question_answering,triton_g4dn_xlarge_1,1724,4,1763
168,question_answering,triton_g4dn_xlarge_2,1728,4,1768
169,question_answering,triton_g4dn_xlarge_3,1739,4,1778
171,question_answering,triton_g4dn_xlarge_1,1752,4,1792
170,question_answering,triton_g4dn_xlarge_4,1751,4,1792
172,question_answering,triton_g4dn_xlarge_2,1754,4,1793
173,question_answering,triton_g4dn_xlarge_3,1760,4,1799
174,question_answering,triton_g4dn_xlarge_4,1761,4,1800
175,question_answering,triton_g4dn_xlarge_1,1794,4,1833
176,question_answering,triton_g4dn_xlarge_2,1812,4,1851
177,question_answering,triton_g4dn_xlarge_3,1820,4,1859
178,question_answering,triton_g4dn_xlarge_4,1822,4,1861
179,question_answering,triton_g4dn_xlarge_1,1823,4,1862
180,question_answering,triton_g4dn_xlarge_2,1862,4,1903
181,question_answering,triton_g4dn_xlarge_3,1874,4,1913
182,question_answering,triton_g4dn_xlarge_4,1894,4,1933
