task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
2,question_answering,triton_t2_large_6,11,33,168
3,question_answering,triton_t2_large_8,17,36,171
6,question_answering,triton_t2_large_4,37,39,180
1,question_answering,triton_t2_large_7,8,47,181
4,question_answering,triton_t2_large_1,35,42,181
5,question_answering,triton_t2_large_3,35,42,182
7,question_answering,triton_t2_large_5,48,35,188
8,question_answering,triton_t2_large_2,65,35,204
9,question_answering,triton_t2_large_11,67,38,209
10,question_answering,triton_t2_large_12,75,47,226
12,question_answering,triton_t2_large_16,100,34,238
13,question_answering,triton_t2_large_13,102,35,241
15,question_answering,triton_t2_large_10,105,36,246
11,question_answering,triton_t2_large_15,97,44,246
14,question_answering,triton_t2_large_14,103,42,249
16,question_answering,triton_t2_large_7,144,40,289
17,question_answering,triton_t2_large_6,161,38,303
18,question_answering,triton_t2_large_8,162,39,305
19,question_answering,triton_t2_large_1,179,39,323
20,question_answering,triton_t2_large_3,183,40,328
21,question_answering,triton_t2_large_4,188,42,335
22,question_answering,triton_t2_large_5,216,37,357
23,question_answering,triton_t2_large_2,233,40,378
24,question_answering,triton_t2_large_11,238,38,381
27,question_answering,triton_t2_large_16,244,37,387
25,question_answering,triton_t2_large_12,239,44,388
26,question_answering,triton_t2_large_15,244,39,389
28,question_answering,triton_t2_large_13,247,38,389
29,question_answering,triton_t2_large_14,263,37,405
30,question_answering,triton_t2_large_10,263,41,409
31,question_answering,triton_t2_large_7,272,39,417
32,question_answering,triton_t2_large_6,282,35,422
33,question_answering,triton_t2_large_8,283,39,427
34,question_answering,triton_t2_large_1,287,37,429
35,question_answering,triton_t2_large_3,288,42,435
36,question_answering,triton_t2_large_4,310,40,455
38,question_answering,triton_t2_large_2,350,37,492
37,question_answering,triton_t2_large_5,350,39,494
39,question_answering,triton_t2_large_11,372,39,517
40,question_answering,triton_t2_large_12,381,44,531
41,question_answering,triton_t2_large_15,394,42,542
42,question_answering,triton_t2_large_16,404,37,548
43,question_answering,triton_t2_large_13,413,40,558
44,question_answering,triton_t2_large_14,413,39,558
45,question_answering,triton_t2_large_10,416,37,559
46,question_answering,triton_t2_large_7,424,43,573
47,question_answering,triton_t2_large_6,438,35,579
49,question_answering,triton_t2_large_1,444,35,584
48,question_answering,triton_t2_large_8,441,39,586
50,question_answering,triton_t2_large_3,464,38,607
51,question_answering,triton_t2_large_4,500,35,641
53,question_answering,triton_t2_large_2,527,31,664
52,question_answering,triton_t2_large_5,522,39,667
54,question_answering,triton_t2_large_11,536,33,675
55,question_answering,triton_t2_large_12,540,36,682
57,question_answering,triton_t2_large_16,546,32,684
58,question_answering,triton_t2_large_13,549,33,688
56,question_answering,triton_t2_large_15,544,39,689
59,question_answering,triton_t2_large_14,549,39,694
60,question_answering,triton_t2_large_10,556,37,699
61,question_answering,triton_t2_large_7,561,39,706
62,question_answering,triton_t2_large_6,570,38,715
63,question_answering,triton_t2_large_8,580,36,723
64,question_answering,triton_t2_large_1,582,40,728
65,question_answering,triton_t2_large_3,609,41,755
68,question_answering,triton_t2_large_2,652,32,790
67,question_answering,triton_t2_large_5,647,39,794
66,question_answering,triton_t2_large_4,638,53,797
69,question_answering,triton_t2_large_11,657,38,801
73,question_answering,triton_t2_large_13,667,32,806
70,question_answering,triton_t2_large_12,659,42,807
71,question_answering,triton_t2_large_15,662,41,809
72,question_answering,triton_t2_large_16,665,39,811
74,question_answering,triton_t2_large_14,701,38,846
75,question_answering,triton_t2_large_10,732,37,875
76,question_answering,triton_t2_large_7,741,35,882
77,question_answering,triton_t2_large_6,755,31,893
78,question_answering,triton_t2_large_8,759,31,896
79,question_answering,triton_t2_large_1,760,33,900
80,question_answering,triton_t2_large_3,766,32,905
81,question_answering,triton_t2_large_4,773,35,915
82,question_answering,triton_t2_large_5,774,36,917
83,question_answering,triton_t2_large_2,781,32,920
84,question_answering,triton_t2_large_11,830,33,970
85,question_answering,triton_t2_large_12,835,41,982
86,question_answering,triton_t2_large_15,839,39,984
87,question_answering,triton_t2_large_16,855,37,999
88,question_answering,triton_t2_large_13,869,33,1009
89,question_answering,triton_t2_large_14,873,32,1012
90,question_answering,triton_t2_large_10,883,33,1023
93,question_answering,triton_t2_large_8,896,36,1038
92,question_answering,triton_t2_large_6,895,38,1040
91,question_answering,triton_t2_large_7,891,43,1041
94,question_answering,triton_t2_large_1,900,37,1045
95,question_answering,triton_t2_large_3,906,38,1051
96,question_answering,triton_t2_large_4,916,40,1063
97,question_answering,triton_t2_large_5,919,39,1065
99,question_answering,triton_t2_large_11,932,37,1076
98,question_answering,triton_t2_large_2,930,40,1077
100,question_answering,triton_t2_large_12,943,36,1086
101,question_answering,triton_t2_large_15,958,42,1107
102,question_answering,triton_t2_large_16,973,32,1112
103,question_answering,triton_t2_large_13,982,37,1126
104,question_answering,triton_t2_large_14,986,38,1132
105,question_answering,triton_t2_large_10,998,40,1145
106,question_answering,triton_t2_large_7,1017,35,1160
107,question_answering,triton_t2_large_6,1027,38,1171
108,question_answering,triton_t2_large_8,1068,41,1217
110,question_answering,triton_t2_large_3,1107,32,1247
112,question_answering,triton_t2_large_5,1109,32,1249
109,question_answering,triton_t2_large_1,1105,40,1254
111,question_answering,triton_t2_large_4,1107,40,1255
113,question_answering,triton_t2_large_2,1135,40,1282
114,question_answering,triton_t2_large_11,1165,34,1306
115,question_answering,triton_t2_large_12,1168,43,1319
116,question_answering,triton_t2_large_15,1172,41,1320
117,question_answering,triton_t2_large_16,1180,39,1327
118,question_answering,triton_t2_large_13,1183,37,1328
119,question_answering,triton_t2_large_14,1190,32,1330
120,question_answering,triton_t2_large_10,1201,33,1341
121,question_answering,triton_t2_large_7,1208,35,1351
122,question_answering,triton_t2_large_6,1221,38,1367
124,question_answering,triton_t2_large_1,1228,38,1374
123,question_answering,triton_t2_large_8,1228,40,1376
125,question_answering,triton_t2_large_3,1233,41,1382
127,question_answering,triton_t2_large_5,1245,36,1389
126,question_answering,triton_t2_large_4,1240,43,1391
128,question_answering,triton_t2_large_2,1250,40,1399
129,question_answering,triton_t2_large_11,1257,40,1405
132,question_answering,triton_t2_large_16,1267,32,1406
131,question_answering,triton_t2_large_15,1264,35,1407
130,question_answering,triton_t2_large_12,1263,36,1408
134,question_answering,triton_t2_large_14,1296,37,1440
133,question_answering,triton_t2_large_13,1295,39,1442
135,question_answering,triton_t2_large_10,1296,41,1445
137,question_answering,triton_t2_large_6,1308,31,1447
136,question_answering,triton_t2_large_7,1299,42,1449
138,question_answering,triton_t2_large_8,1355,32,1495
139,question_answering,triton_t2_large_1,1404,33,1546
140,question_answering,triton_t2_large_3,1454,32,1594
141,question_answering,triton_t2_large_4,1455,43,1607
142,question_answering,triton_t2_large_5,1466,39,1614
143,question_answering,triton_t2_large_2,1474,33,1616
144,question_answering,triton_t2_large_11,1476,33,1618
146,question_answering,triton_t2_large_15,1507,34,1650
145,question_answering,triton_t2_large_12,1504,42,1655
147,question_answering,triton_t2_large_16,1575,35,1718
148,question_answering,triton_t2_large_13,1584,38,1730
149,question_answering,triton_t2_large_14,1586,39,1733
150,question_answering,triton_t2_large_10,1591,33,1734
152,question_answering,triton_t2_large_6,1598,32,1739
151,question_answering,triton_t2_large_7,1593,42,1744
153,question_answering,triton_t2_large_8,1607,32,1748
154,question_answering,triton_t2_large_1,1620,32,1762
155,question_answering,triton_t2_large_3,1627,39,1775
156,question_answering,triton_t2_large_4,1630,40,1779
157,question_answering,triton_t2_large_5,1639,37,1785
158,question_answering,triton_t2_large_2,1645,40,1794
159,question_answering,triton_t2_large_11,1649,41,1798
160,question_answering,triton_t2_large_12,1653,37,1798
162,question_answering,triton_t2_large_16,1662,32,1804
161,question_answering,triton_t2_large_15,1656,41,1806
163,question_answering,triton_t2_large_13,1668,32,1810
164,question_answering,triton_t2_large_14,1691,31,1831
165,question_answering,triton_t2_large_10,1704,32,1846
166,question_answering,triton_t2_large_7,1719,39,1868
168,question_answering,triton_t2_large_8,1728,32,1869
167,question_answering,triton_t2_large_6,1724,39,1873
169,question_answering,triton_t2_large_1,1739,34,1882
170,question_answering,triton_t2_large_3,1751,32,1892
171,question_answering,triton_t2_large_4,1752,36,1898
173,question_answering,triton_t2_large_2,1760,33,1902
172,question_answering,triton_t2_large_5,1754,39,1903
174,question_answering,triton_t2_large_11,1761,34,1905
175,question_answering,triton_t2_large_12,1794,44,1947
176,question_answering,triton_t2_large_15,1812,39,1961
177,question_answering,triton_t2_large_16,1820,36,1966
178,question_answering,triton_t2_large_13,1822,36,1968
179,question_answering,triton_t2_large_14,1823,36,1968
180,question_answering,triton_t2_large_10,1862,33,2005
181,question_answering,triton_t2_large_7,1874,42,2026
182,question_answering,triton_t2_large_6,1894,32,2036
183,question_answering,triton_t2_large_8,1899,36,2045
184,question_answering,triton_t2_large_1,1902,33,2045
185,question_answering,triton_t2_large_3,1905,39,2054
186,question_answering,triton_t2_large_4,1925,38,2073
187,question_answering,triton_t2_large_5,1931,33,2074
188,question_answering,triton_t2_large_2,1942,37,2089
191,question_answering,triton_t2_large_15,1962,38,2110
189,question_answering,triton_t2_large_11,1959,41,2111
190,question_answering,triton_t2_large_12,1961,43,2114
192,question_answering,triton_t2_large_16,1975,32,2117
193,question_answering,triton_t2_large_13,2008,32,2150
194,question_answering,triton_t2_large_14,2039,32,2181
195,question_answering,triton_t2_large_10,2046,32,2189
196,question_answering,triton_t2_large_7,2056,35,2203
197,question_answering,triton_t2_large_6,2069,36,2215
199,question_answering,triton_t2_large_1,2094,37,2241
200,question_answering,triton_t2_large_3,2099,31,2241
198,question_answering,triton_t2_large_8,2092,40,2242
201,question_answering,triton_t2_large_4,2104,36,2250
202,question_answering,triton_t2_large_5,2116,39,2266
203,question_answering,triton_t2_large_2,2122,37,2270
204,question_answering,triton_t2_large_11,2141,33,2285
206,question_answering,triton_t2_large_15,2161,35,2306
205,question_answering,triton_t2_large_12,2160,37,2308
207,question_answering,triton_t2_large_16,2164,37,2311
208,question_answering,triton_t2_large_13,2203,32,2346
209,question_answering,triton_t2_large_14,2204,38,2353
210,question_answering,triton_t2_large_10,2210,33,2353
211,question_answering,triton_t2_large_7,2241,43,2394
212,question_answering,triton_t2_large_6,2258,39,2407
213,question_answering,triton_t2_large_8,2261,39,2410
214,question_answering,triton_t2_large_1,2270,32,2412
215,question_answering,triton_t2_large_3,2276,36,2422
216,question_answering,triton_t2_large_4,2285,35,2431
217,question_answering,triton_t2_large_5,2307,33,2450
218,question_answering,triton_t2_large_2,2315,39,2465
219,question_answering,triton_t2_large_11,2322,40,2473
220,question_answering,triton_t2_large_12,2326,42,2478
221,question_answering,triton_t2_large_15,2329,39,2480
222,question_answering,triton_t2_large_16,2337,34,2483
223,question_answering,triton_t2_large_13,2338,37,2486
224,question_answering,triton_t2_large_14,2348,36,2496
225,question_answering,triton_t2_large_10,2364,38,2513
226,question_answering,triton_t2_large_7,2395,42,2549
227,question_answering,triton_t2_large_6,2406,32,2550
228,question_answering,triton_t2_large_8,2413,32,2557
229,question_answering,triton_t2_large_1,2419,33,2564
230,question_answering,triton_t2_large_3,2453,36,2601
231,question_answering,triton_t2_large_4,2456,41,2610
232,question_answering,triton_t2_large_5,2461,36,2610
