task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
3,speech_recognition,triton_c5_2xlarge_3,17,191,248
4,speech_recognition,triton_c5_2xlarge_5,35,187,251
2,speech_recognition,triton_c5_2xlarge_2,11,196,253
5,speech_recognition,triton_c5_2xlarge_4,35,314,378
1,speech_recognition,triton_c5_2xlarge_1,8,324,380
6,speech_recognition,triton_c5_2xlarge_3,37,184,432
15,speech_recognition,triton_c5_2xlarge_5,105,181,432
20,speech_recognition,triton_c5_2xlarge_2,183,184,437
24,speech_recognition,triton_c5_2xlarge_5,238,182,615
23,speech_recognition,triton_c5_2xlarge_3,233,184,617
22,speech_recognition,triton_c5_2xlarge_2,216,185,622
26,speech_recognition,triton_c5_2xlarge_4,244,309,686
10,speech_recognition,triton_c5_2xlarge_1,75,319,700
54,speech_recognition,triton_c5_2xlarge_5,536,184,799
36,speech_recognition,triton_c5_2xlarge_3,310,182,800
16,speech_recognition,triton_c5_2xlarge_2,144,186,807
8,speech_recognition,triton_c5_2xlarge_5,65,183,983
55,speech_recognition,triton_c5_2xlarge_3,540,184,984
65,speech_recognition,triton_c5_2xlarge_2,609,186,994
51,speech_recognition,triton_c5_2xlarge_4,500,313,999
46,speech_recognition,triton_c5_2xlarge_1,424,321,1021
41,speech_recognition,triton_c5_2xlarge_5,394,186,1170
21,speech_recognition,triton_c5_2xlarge_3,188,186,1170
12,speech_recognition,triton_c5_2xlarge_2,100,187,1181
94,speech_recognition,triton_c5_2xlarge_4,900,314,1313
44,speech_recognition,triton_c5_2xlarge_1,413,325,1345
96,speech_recognition,triton_c5_2xlarge_3,916,192,1363
28,speech_recognition,triton_c5_2xlarge_5,247,192,1363
79,speech_recognition,triton_c5_2xlarge_2,760,186,1367
63,speech_recognition,triton_c5_2xlarge_3,580,190,1553
35,speech_recognition,triton_c5_2xlarge_5,288,190,1553
43,speech_recognition,triton_c5_2xlarge_2,413,198,1565
82,speech_recognition,triton_c5_2xlarge_4,774,315,1629
72,speech_recognition,triton_c5_2xlarge_1,665,327,1673
117,speech_recognition,triton_c5_2xlarge_5,1180,193,1746
13,speech_recognition,triton_c5_2xlarge_3,102,193,1746
70,speech_recognition,triton_c5_2xlarge_2,659,195,1760
69,speech_recognition,triton_c5_2xlarge_3,657,191,1937
150,speech_recognition,triton_c5_2xlarge_5,1591,191,1937
57,speech_recognition,triton_c5_2xlarge_2,546,193,1953
34,speech_recognition,triton_c5_2xlarge_4,287,324,1953
134,speech_recognition,triton_c5_2xlarge_1,1296,331,2004
32,speech_recognition,triton_c5_2xlarge_3,282,195,2132
123,speech_recognition,triton_c5_2xlarge_5,1228,195,2133
59,speech_recognition,triton_c5_2xlarge_2,549,196,2149
142,speech_recognition,triton_c5_2xlarge_4,1466,322,2275
163,speech_recognition,triton_c5_2xlarge_5,1668,197,2330
166,speech_recognition,triton_c5_2xlarge_3,1719,197,2330
121,speech_recognition,triton_c5_2xlarge_1,1208,326,2330
11,speech_recognition,triton_c5_2xlarge_2,97,194,2343
145,speech_recognition,triton_c5_2xlarge_3,1504,196,2526
52,speech_recognition,triton_c5_2xlarge_5,522,195,2526
127,speech_recognition,triton_c5_2xlarge_2,1245,196,2539
156,speech_recognition,triton_c5_2xlarge_4,1630,324,2599
198,speech_recognition,triton_c5_2xlarge_1,2092,331,2661
93,speech_recognition,triton_c5_2xlarge_3,896,198,2724
60,speech_recognition,triton_c5_2xlarge_5,556,197,2724
47,speech_recognition,triton_c5_2xlarge_2,438,191,2731
162,speech_recognition,triton_c5_2xlarge_4,1662,327,2926
25,speech_recognition,triton_c5_2xlarge_3,239,202,2926
128,speech_recognition,triton_c5_2xlarge_5,1250,201,2926
83,speech_recognition,triton_c5_2xlarge_2,781,194,2926
190,speech_recognition,triton_c5_2xlarge_1,1961,337,2998
27,speech_recognition,triton_c5_2xlarge_5,244,205,3132
268,speech_recognition,triton_c5_2xlarge_2,2823,205,3132
236,speech_recognition,triton_c5_2xlarge_3,2519,206,3132
253,speech_recognition,triton_c5_2xlarge_4,2656,332,3259
61,speech_recognition,triton_c5_2xlarge_2,561,208,3340
122,speech_recognition,triton_c5_2xlarge_1,1221,342,3340
