task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
1,speech_recognition,triton_g4dn_xlarge_3,8,29,85
2,speech_recognition,triton_g4dn_xlarge_4,11,30,86
3,speech_recognition,triton_g4dn_xlarge_1,17,31,87
4,speech_recognition,triton_g4dn_xlarge_2,35,26,89
7,speech_recognition,triton_g4dn_xlarge_3,48,21,108
5,speech_recognition,triton_g4dn_xlarge_4,35,23,110
6,speech_recognition,triton_g4dn_xlarge_1,37,21,110
8,speech_recognition,triton_g4dn_xlarge_2,65,20,113
10,speech_recognition,triton_g4dn_xlarge_3,75,23,133
9,speech_recognition,triton_g4dn_xlarge_4,67,23,135
11,speech_recognition,triton_g4dn_xlarge_1,97,21,146
12,speech_recognition,triton_g4dn_xlarge_2,100,20,147
13,speech_recognition,triton_g4dn_xlarge_3,102,23,156
15,speech_recognition,triton_g4dn_xlarge_4,105,23,159
14,speech_recognition,triton_g4dn_xlarge_1,103,22,169
16,speech_recognition,triton_g4dn_xlarge_2,144,20,192
17,speech_recognition,triton_g4dn_xlarge_3,161,20,209
18,speech_recognition,triton_g4dn_xlarge_4,162,20,209
19,speech_recognition,triton_g4dn_xlarge_1,179,20,227
20,speech_recognition,triton_g4dn_xlarge_2,183,19,230
21,speech_recognition,triton_g4dn_xlarge_3,188,21,237
22,speech_recognition,triton_g4dn_xlarge_4,216,19,264
23,speech_recognition,triton_g4dn_xlarge_1,233,20,281
24,speech_recognition,triton_g4dn_xlarge_2,238,19,285
25,speech_recognition,triton_g4dn_xlarge_3,239,20,286
26,speech_recognition,triton_g4dn_xlarge_4,244,19,291
28,speech_recognition,triton_g4dn_xlarge_1,247,20,303
27,speech_recognition,triton_g4dn_xlarge_2,244,19,305
29,speech_recognition,triton_g4dn_xlarge_3,263,21,312
30,speech_recognition,triton_g4dn_xlarge_4,263,23,314
31,speech_recognition,triton_g4dn_xlarge_1,272,22,325
32,speech_recognition,triton_g4dn_xlarge_2,282,20,330
33,speech_recognition,triton_g4dn_xlarge_3,283,22,335
34,speech_recognition,triton_g4dn_xlarge_4,287,23,338
35,speech_recognition,triton_g4dn_xlarge_1,288,25,351
36,speech_recognition,triton_g4dn_xlarge_2,310,22,360
37,speech_recognition,triton_g4dn_xlarge_3,350,20,400
38,speech_recognition,triton_g4dn_xlarge_4,350,20,401
39,speech_recognition,triton_g4dn_xlarge_1,372,19,420
40,speech_recognition,triton_g4dn_xlarge_2,381,19,428
41,speech_recognition,triton_g4dn_xlarge_3,394,19,442
42,speech_recognition,triton_g4dn_xlarge_4,404,19,452
43,speech_recognition,triton_g4dn_xlarge_1,413,20,461
44,speech_recognition,triton_g4dn_xlarge_2,413,21,463
45,speech_recognition,triton_g4dn_xlarge_3,416,19,464
46,speech_recognition,triton_g4dn_xlarge_4,424,21,474
47,speech_recognition,triton_g4dn_xlarge_1,438,20,487
48,speech_recognition,triton_g4dn_xlarge_2,441,19,489
49,speech_recognition,triton_g4dn_xlarge_3,444,20,492
50,speech_recognition,triton_g4dn_xlarge_4,464,21,513
51,speech_recognition,triton_g4dn_xlarge_1,500,20,549
52,speech_recognition,triton_g4dn_xlarge_2,522,19,569
53,speech_recognition,triton_g4dn_xlarge_3,527,19,574
54,speech_recognition,triton_g4dn_xlarge_4,536,19,586
55,speech_recognition,triton_g4dn_xlarge_1,540,20,589
56,speech_recognition,triton_g4dn_xlarge_2,544,19,592
57,speech_recognition,triton_g4dn_xlarge_3,546,20,595
60,speech_recognition,triton_g4dn_xlarge_4,556,20,607
58,speech_recognition,triton_g4dn_xlarge_2,549,21,613
61,speech_recognition,triton_g4dn_xlarge_1,561,23,613
59,speech_recognition,triton_g4dn_xlarge_3,549,23,619
62,speech_recognition,triton_g4dn_xlarge_4,570,21,628
64,speech_recognition,triton_g4dn_xlarge_2,582,23,637
63,speech_recognition,triton_g4dn_xlarge_1,580,24,638
65,speech_recognition,triton_g4dn_xlarge_3,609,21,658
66,speech_recognition,triton_g4dn_xlarge_4,638,19,688
67,speech_recognition,triton_g4dn_xlarge_1,647,20,697
68,speech_recognition,triton_g4dn_xlarge_2,652,19,701
69,speech_recognition,triton_g4dn_xlarge_3,657,19,706
70,speech_recognition,triton_g4dn_xlarge_4,659,20,708
73,speech_recognition,triton_g4dn_xlarge_1,667,21,719
72,speech_recognition,triton_g4dn_xlarge_2,665,19,722
71,speech_recognition,triton_g4dn_xlarge_3,662,20,727
