task_id,task_type,assigned_machine,arrival_time,inference_time,completion_time
2,speech_recognition,triton_t2_large_6,11,580,643
1,speech_recognition,triton_t2_large_7,8,599,662
3,speech_recognition,triton_t2_large_8,17,604,668
4,speech_recognition,triton_t2_large_1,35,600,668
7,speech_recognition,triton_t2_large_5,48,586,668
5,speech_recognition,triton_t2_large_3,35,606,674
6,speech_recognition,triton_t2_large_4,37,604,675
8,speech_recognition,triton_t2_large_2,65,580,677
9,speech_recognition,triton_t2_large_11,67,588,688
10,speech_recognition,triton_t2_large_12,75,606,713
14,speech_recognition,triton_t2_large_14,103,583,719
12,speech_recognition,triton_t2_large_16,100,591,724
13,speech_recognition,triton_t2_large_13,102,589,724
15,speech_recognition,triton_t2_large_10,105,598,736
11,speech_recognition,triton_t2_large_15,97,612,741
28,speech_recognition,triton_t2_large_6,247,583,1226
54,speech_recognition,triton_t2_large_5,536,585,1254
63,speech_recognition,triton_t2_large_2,580,584,1262
36,speech_recognition,triton_t2_large_1,310,594,1262
42,speech_recognition,triton_t2_large_7,404,601,1263
64,speech_recognition,triton_t2_large_3,582,592,1267
21,speech_recognition,triton_t2_large_4,188,598,1274
29,speech_recognition,triton_t2_large_8,263,610,1278
25,speech_recognition,triton_t2_large_11,239,591,1279
34,speech_recognition,triton_t2_large_14,287,578,1297
49,speech_recognition,triton_t2_large_16,444,584,1308
72,speech_recognition,triton_t2_large_13,665,584,1308
70,speech_recognition,triton_t2_large_12,659,610,1323
48,speech_recognition,triton_t2_large_10,441,590,1327
40,speech_recognition,triton_t2_large_15,381,603,1344
116,speech_recognition,triton_t2_large_6,1172,584,1810
93,speech_recognition,triton_t2_large_2,896,584,1847
55,speech_recognition,triton_t2_large_1,540,595,1858
107,speech_recognition,triton_t2_large_5,1027,604,1858
75,speech_recognition,triton_t2_large_3,732,595,1864
68,speech_recognition,triton_t2_large_7,652,601,1864
27,speech_recognition,triton_t2_large_11,244,591,1870
67,speech_recognition,triton_t2_large_4,647,603,1878
71,speech_recognition,triton_t2_large_14,662,593,1890
56,speech_recognition,triton_t2_large_8,544,610,1890
109,speech_recognition,triton_t2_large_16,1105,587,1895
123,speech_recognition,triton_t2_large_13,1228,586,1895
58,speech_recognition,triton_t2_large_10,549,598,1925
102,speech_recognition,triton_t2_large_12,973,602,1926
127,speech_recognition,triton_t2_large_15,1245,609,1954
137,speech_recognition,triton_t2_large_6,1308,591,2401
57,speech_recognition,triton_t2_large_2,546,585,2432
85,speech_recognition,triton_t2_large_1,835,605,2464
119,speech_recognition,triton_t2_large_5,1190,605,2464
170,speech_recognition,triton_t2_large_11,1751,599,2471
89,speech_recognition,triton_t2_large_3,873,606,2471
162,speech_recognition,triton_t2_large_4,1662,602,2480
120,speech_recognition,triton_t2_large_7,1201,615,2480
125,speech_recognition,triton_t2_large_8,1233,607,2498
164,speech_recognition,triton_t2_large_13,1691,601,2498
97,speech_recognition,triton_t2_large_16,919,601,2498
62,speech_recognition,triton_t2_large_14,570,607,2498
92,speech_recognition,triton_t2_large_10,895,593,2519
83,speech_recognition,triton_t2_large_12,781,612,2538
50,speech_recognition,triton_t2_large_15,464,619,2573
201,speech_recognition,triton_t2_large_6,2104,597,2998
43,speech_recognition,triton_t2_large_2,413,590,3023
228,speech_recognition,triton_t2_large_1,2413,606,3070
229,speech_recognition,triton_t2_large_11,2419,598,3071
53,speech_recognition,triton_t2_large_5,527,606,3071
190,speech_recognition,triton_t2_large_4,1961,609,3090
105,speech_recognition,triton_t2_large_3,998,617,3090
144,speech_recognition,triton_t2_large_14,1476,592,3090
182,speech_recognition,triton_t2_large_16,1894,602,3100
218,speech_recognition,triton_t2_large_13,2315,602,3100
69,speech_recognition,triton_t2_large_7,657,618,3100
220,speech_recognition,triton_t2_large_8,2326,613,3111
194,speech_recognition,triton_t2_large_10,2039,592,3111
147,speech_recognition,triton_t2_large_12,1575,615,3153
178,speech_recognition,triton_t2_large_15,1822,619,3191
279,speech_recognition,triton_t2_large_6,2943,603,3602
273,speech_recognition,triton_t2_large_2,2892,600,3622
183,speech_recognition,triton_t2_large_14,1899,592,3683
78,speech_recognition,triton_t2_large_5,759,612,3683
146,speech_recognition,triton_t2_large_11,1507,612,3683
230,speech_recognition,triton_t2_large_1,2453,612,3683
130,speech_recognition,triton_t2_large_3,1263,603,3694
269,speech_recognition,triton_t2_large_10,2824,596,3709
282,speech_recognition,triton_t2_large_13,3006,606,3709
284,speech_recognition,triton_t2_large_16,3021,607,3709
161,speech_recognition,triton_t2_large_4,1656,617,3709
275,speech_recognition,triton_t2_large_7,2929,618,3720
227,speech_recognition,triton_t2_large_8,2406,621,3734
222,speech_recognition,triton_t2_large_12,2337,622,3775
268,speech_recognition,triton_t2_large_15,2823,633,3825
343,speech_recognition,triton_t2_large_6,3503,602,4203
338,speech_recognition,triton_t2_large_2,3447,616,4238
328,speech_recognition,triton_t2_large_14,3361,615,4298
347,speech_recognition,triton_t2_large_3,3548,601,4299
355,speech_recognition,triton_t2_large_11,3619,615,4299
341,speech_recognition,triton_t2_large_5,3485,614,4299
317,speech_recognition,triton_t2_large_1,3292,615,4299
358,speech_recognition,triton_t2_large_16,3642,602,4312
324,speech_recognition,triton_t2_large_13,3327,602,4312
309,speech_recognition,triton_t2_large_10,3229,602,4312
357,speech_recognition,triton_t2_large_4,3639,619,4329
344,speech_recognition,triton_t2_large_7,3510,621,4344
360,speech_recognition,triton_t2_large_8,3664,635,4369
361,speech_recognition,triton_t2_large_12,3666,630,4405
362,speech_recognition,triton_t2_large_15,3681,627,4452
400,speech_recognition,triton_t2_large_6,4007,608,4811
394,speech_recognition,triton_t2_large_2,3977,626,4865
414,speech_recognition,triton_t2_large_13,4172,604,4920
413,speech_recognition,triton_t2_large_11,4159,620,4920
369,speech_recognition,triton_t2_large_5,3812,619,4920
392,speech_recognition,triton_t2_large_1,3966,620,4920
401,speech_recognition,triton_t2_large_14,4007,620,4920
381,speech_recognition,triton_t2_large_3,3908,620,4920
390,speech_recognition,triton_t2_large_16,3957,604,4920
387,speech_recognition,triton_t2_large_10,3937,619,4935
420,speech_recognition,triton_t2_large_4,4255,624,4955
378,speech_recognition,triton_t2_large_7,3878,638,4983
372,speech_recognition,triton_t2_large_8,3839,627,4996
427,speech_recognition,triton_t2_large_12,4336,633,5038
430,speech_recognition,triton_t2_large_15,4358,639,5091
460,speech_recognition,triton_t2_large_6,4689,612,5423
461,speech_recognition,triton_t2_large_2,4691,633,5498
465,speech_recognition,triton_t2_large_14,4741,627,5548
446,speech_recognition,triton_t2_large_16,4476,627,5548
422,speech_recognition,triton_t2_large_5,4283,626,5548
439,speech_recognition,triton_t2_large_1,4432,626,5548
443,speech_recognition,triton_t2_large_13,4455,627,5548
428,speech_recognition,triton_t2_large_3,4336,626,5548
454,speech_recognition,triton_t2_large_11,4618,627,5548
473,speech_recognition,triton_t2_large_10,4780,625,5565
477,speech_recognition,triton_t2_large_4,4876,632,5588
478,speech_recognition,triton_t2_large_7,4876,621,5604
484,speech_recognition,triton_t2_large_8,4920,625,5621
368,speech_recognition,triton_t2_large_12,3772,631,5668
310,speech_recognition,triton_t2_large_15,3229,641,5732
535,speech_recognition,triton_t2_large_6,5347,611,6034
547,speech_recognition,triton_t2_large_2,5419,653,6151
540,speech_recognition,triton_t2_large_16,5373,638,6187
549,speech_recognition,triton_t2_large_11,5433,638,6187
308,speech_recognition,triton_t2_large_5,3212,637,6187
529,speech_recognition,triton_t2_large_14,5291,638,6187
508,speech_recognition,triton_t2_large_1,5125,638,6187
311,speech_recognition,triton_t2_large_3,3229,638,6187
541,speech_recognition,triton_t2_large_13,5376,638,6188
551,speech_recognition,triton_t2_large_10,5448,637,6207
555,speech_recognition,triton_t2_large_4,5498,641,6230
556,speech_recognition,triton_t2_large_8,5502,628,6250
557,speech_recognition,triton_t2_large_7,5517,645,6250
566,speech_recognition,triton_t2_large_12,5586,634,6303
537,speech_recognition,triton_t2_large_15,5360,640,6372
599,speech_recognition,triton_t2_large_6,5949,629,6663
603,speech_recognition,triton_t2_large_2,6000,638,6789
602,speech_recognition,triton_t2_large_14,5968,640,6829
538,speech_recognition,triton_t2_large_1,5361,640,6829
601,speech_recognition,triton_t2_large_11,5966,641,6829
532,speech_recognition,triton_t2_large_3,5330,640,6829
533,speech_recognition,triton_t2_large_5,5330,640,6829
580,speech_recognition,triton_t2_large_13,5682,641,6829
594,speech_recognition,triton_t2_large_16,5872,641,6829
609,speech_recognition,triton_t2_large_10,6082,618,6830
613,speech_recognition,triton_t2_large_4,6136,643,6875
610,speech_recognition,triton_t2_large_8,6083,642,6893
615,speech_recognition,triton_t2_large_7,6159,643,6893
617,speech_recognition,triton_t2_large_12,6178,646,6950
627,speech_recognition,triton_t2_large_15,6286,633,7006
651,speech_recognition,triton_t2_large_6,6577,637,7300
662,speech_recognition,triton_t2_large_2,6662,645,7435
647,speech_recognition,triton_t2_large_13,6524,646,7476
650,speech_recognition,triton_t2_large_16,6558,646,7476
518,speech_recognition,triton_t2_large_3,5219,645,7476
644,speech_recognition,triton_t2_large_14,6489,646,7476
525,speech_recognition,triton_t2_large_1,5276,646,7477
622,speech_recognition,triton_t2_large_10,6252,646,7477
513,speech_recognition,triton_t2_large_5,5166,646,7477
654,speech_recognition,triton_t2_large_11,6592,647,7477
668,speech_recognition,triton_t2_large_4,6777,649,7525
660,speech_recognition,triton_t2_large_8,6648,651,7545
669,speech_recognition,triton_t2_large_7,6798,651,7545
674,speech_recognition,triton_t2_large_12,6859,638,7588
656,speech_recognition,triton_t2_large_15,6609,662,7667
704,speech_recognition,triton_t2_large_6,7209,630,7930
700,speech_recognition,triton_t2_large_2,7154,643,8078
695,speech_recognition,triton_t2_large_16,7080,647,8124
676,speech_recognition,triton_t2_large_14,6894,646,8124
597,speech_recognition,triton_t2_large_3,5904,646,8124
696,speech_recognition,triton_t2_large_5,7081,646,8124
717,speech_recognition,triton_t2_large_11,7379,648,8125
683,speech_recognition,triton_t2_large_13,6933,647,8125
506,speech_recognition,triton_t2_large_1,5112,646,8125
596,speech_recognition,triton_t2_large_10,5904,647,8125
723,speech_recognition,triton_t2_large_4,7425,651,8176
715,speech_recognition,triton_t2_large_8,7360,651,8197
718,speech_recognition,triton_t2_large_7,7400,652,8197
713,speech_recognition,triton_t2_large_12,7322,655,8243
737,speech_recognition,triton_t2_large_15,7574,642,8309
764,speech_recognition,triton_t2_large_6,7793,641,8571
777,speech_recognition,triton_t2_large_2,7896,651,8730
698,speech_recognition,triton_t2_large_5,7096,652,8778
759,speech_recognition,triton_t2_large_14,7729,652,8778
773,speech_recognition,triton_t2_large_16,7853,653,8778
706,speech_recognition,triton_t2_large_1,7245,653,8779
791,speech_recognition,triton_t2_large_11,8023,654,8779
762,speech_recognition,triton_t2_large_13,7773,653,8779
741,speech_recognition,triton_t2_large_10,7612,653,8779
751,speech_recognition,triton_t2_large_3,7693,653,8779
642,speech_recognition,triton_t2_large_4,6475,658,8835
799,speech_recognition,triton_t2_large_7,8095,661,8859
795,speech_recognition,triton_t2_large_8,8044,660,8859
786,speech_recognition,triton_t2_large_12,7957,665,8908
760,speech_recognition,triton_t2_large_15,7733,668,8977
831,speech_recognition,triton_t2_large_6,8467,638,9210
840,speech_recognition,triton_t2_large_2,8579,671,9401
850,speech_recognition,triton_t2_large_16,8668,649,9428
852,speech_recognition,triton_t2_large_14,8670,649,9428
849,speech_recognition,triton_t2_large_11,8668,649,9429
833,speech_recognition,triton_t2_large_3,8533,649,9429
851,speech_recognition,triton_t2_large_13,8668,649,9429
853,speech_recognition,triton_t2_large_1,8673,649,9429
841,speech_recognition,triton_t2_large_10,8581,649,9429
834,speech_recognition,triton_t2_large_5,8536,648,9429
859,speech_recognition,triton_t2_large_4,8720,653,9489
863,speech_recognition,triton_t2_large_7,8744,654,9513
857,speech_recognition,triton_t2_large_8,8697,681,9540
870,speech_recognition,triton_t2_large_12,8800,658,9566
875,speech_recognition,triton_t2_large_15,8825,665,9642
892,speech_recognition,triton_t2_large_6,9011,658,9868
924,speech_recognition,triton_t2_large_11,9265,646,10075
920,speech_recognition,triton_t2_large_2,9241,672,10075
932,speech_recognition,triton_t2_large_16,9317,646,10076
925,speech_recognition,triton_t2_large_13,9268,645,10076
895,speech_recognition,triton_t2_large_1,9035,645,10076
886,speech_recognition,triton_t2_large_10,8943,645,10076
902,speech_recognition,triton_t2_large_3,9128,644,10076
879,speech_recognition,triton_t2_large_5,8893,644,10076
885,speech_recognition,triton_t2_large_14,8940,645,10076
926,speech_recognition,triton_t2_large_4,9269,674,10163
939,speech_recognition,triton_t2_large_8,9424,647,10188
