id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,image_classification,BESTEFFORT,COMPLETED,t2.large-1-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,0.0,86.39,inf,50000.0,50000.0
1,image_classification,BESTEFFORT,COMPLETED,t2.large-7-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,4975.288000000001,5061.678000000002,inf,50000.0,50000.0
2,image_classification,BESTEFFORT,COMPLETED,t2.large-2-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,0.0,86.39,inf,50000.0,50000.0
3,image_classification,BESTEFFORT,COMPLETED,g4dn.xlarge-2-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,5014.416000000004,5035.5930000000035,inf,50000.0,50000.0
4,image_classification,BESTEFFORT,COMPLETED,t2.large-6-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,4975.288000000001,5061.678000000002,inf,50000.0,50000.0
5,image_classification,BESTEFFORT,COMPLETED,g4dn.xlarge-1-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,4845.661000000006,4866.838000000006,inf,50000.0,50000.0
6,image_classification,BESTEFFORT,COMPLETED,t2.large-3-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,0.0,86.39,inf,50000.0,50000.0
7,image_classification,BESTEFFORT,COMPLETED,g4dn.xlarge-1-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,5036.2540000000035,5057.431000000003,inf,50000.0,50000.0
8,image_classification,BESTEFFORT,COMPLETED,g4dn.xlarge-1-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,5015.077000000004,5036.2540000000035,inf,50000.0,50000.0
9,image_classification,BESTEFFORT,COMPLETED,g4dn.xlarge-1-1,0.0,"{'t2.large-1-1': 86.39, 't2.large-2-1': 86.39, 't2.large-3-1': 86.39, 't2.large-4-1': 86.39, 't2.large-5-1': 86.39, 't2.large-6-1': 86.39, 't2.large-7-1': 86.39, 'c5.2xlarge-1-1': 50.84, 'c5.2xlarge-2-1': 50.84, 'c5.2xlarge-3-1': 50.84, 'g4dn.xlarge-1-1': 21.177, 'g4dn.xlarge-2-1': 21.177}",0.0,4993.900000000004,5015.077000000004,inf,50000.0,50000.0
