t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
4,2,3,4,4413,5626,21.6
9,4,3,4,4436,5038,11.9
9,1,3,4,4477,5577,19.7
2,3,3,4,4368,5611,22.2
0,3,3,4,4399,5417,18.8
1,1,3,4,4396,5826,24.5
3,1,3,4,4388,5779,24.1
5,0,3,4,4491,5759,22.0
9,2,3,4,4515,5359,15.7
1,2,3,4,4385,5705,23.1
7,2,3,4,4456,5276,15.5
6,3,3,4,4450,5317,16.3
6,2,3,4,4433,5522,19.7
6,0,3,4,4499,5708,21.2
7,4,3,4,4417,5023,12.1
8,2,3,4,4504,5297,15.0
0,2,3,4,4371,5446,19.7
4,4,3,4,4330,5133,15.6
3,0,3,4,4459,5866,24.0
5,1,3,4,4451,5683,21.7
5,2,3,4,4431,5628,21.3
0,0,3,4,4411,5770,23.6
4,0,3,4,4449,5836,23.8
6,4,3,4,4404,5107,13.8
8,3,3,4,4475,5095,12.2
4,1,3,4,4407,5724,23.0
3,2,3,4,4418,5685,22.3
0,4,3,4,4354,5174,15.8
5,4,3,4,4402,5000,12.0
10,3,3,4,4482,5020,10.7
2,1,3,4,4418,5767,23.4
1,3,3,4,4366,5571,21.6
1,0,3,4,4415,5992,26.3
6,1,3,4,4439,5681,21.9
2,0,3,4,4448,5912,24.8
7,1,3,4,4457,5604,20.5
7,0,3,4,4481,5725,21.7
12,0,3,4,4511,5399,16.4
2,4,3,4,4333,5221,17.0
3,3,3,4,4374,5445,19.7
3,4,3,4,4344,5052,14.0
5,3,3,4,4392,5518,20.4
8,1,3,4,4490,5574,19.4
8,0,3,4,4492,5654,20.6
7,3,3,4,4429,5092,13.0
2,2,3,4,4388,5698,23.0
8,4,3,4,4448,5035,11.7
1,4,3,4,4330,5253,17.6
0,1,3,4,4375,5596,21.8
10,2,3,4,4502,5218,13.7
4,3,3,4,4393,5301,17.1
9,0,3,4,4524,5665,20.1
10,1,2,5,5125,6200,17.3
0,4,2,5,4994,5971,16.4
8,3,2,5,4980,5978,16.7
10,0,3,5,4535,5767,21.4
4,0,2,5,5298,6625,20.0
6,3,2,5,4988,6058,17.7
12,0,2,5,5302,6368,16.7
7,2,2,5,5098,6291,19.0
3,1,2,5,5241,6575,20.3
11,0,3,5,4628,5634,17.9
13,0,2,5,5231,6240,16.2
7,0,2,5,5336,6480,17.7
12,1,2,5,5115,6059,15.6
6,2,2,5,5134,6293,18.4
7,3,2,5,5056,5903,14.3
10,3,2,5,5042,5681,11.2
5,1,2,5,5169,6393,19.1
2,2,2,5,5131,6518,21.3
10,0,2,5,5275,6365,17.1
1,1,2,5,5303,7345,27.8
8,2,2,5,5133,6249,17.9
2,4,2,5,5017,6331,20.8
8,4,2,5,4968,5674,12.4
