t2.large,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err,estimated_throughput,true_throughput
5,3,4,4491,5759,22.0,222.66755733689604,173.64125716270183
6,3,4,4499,5708,21.2,222.27161591464773,175.19271198318148
3,3,4,4459,5866,24.0,224.26553038797934,170.47391749062393
0,3,4,4411,5770,23.6,226.7059623668102,173.31022530329287
4,3,4,4449,5836,23.8,224.76961114857272,171.35023989033584
1,3,4,4415,5992,26.3,226.50056625141562,166.88918558077435
2,3,4,4448,5912,24.8,224.82014388489208,169.14749661705008
7,3,4,4481,5725,21.7,223.16447221602323,174.6724890829694
12,3,4,4511,5399,16.4,221.68033695411216,185.21948508983144
8,3,4,4492,5654,20.6,222.6179875333927,176.86593562079943
9,3,4,4524,5665,20.1,221.04332449160034,176.522506619594
10,3,5,4535,5767,21.4,220.5071664829107,173.40038148083926
4,2,5,5298,6625,20.0,188.7504718761797,150.9433962264151
12,2,5,5302,6368,16.7,188.60807242549978,157.03517587939697
11,3,5,4628,5634,17.9,216.076058772688,177.49378771742988
13,2,5,5231,6240,16.2,191.16803670426305,160.25641025641025
7,2,5,5336,6480,17.7,187.4062968515742,154.320987654321
10,2,5,5275,6365,17.1,189.57345971563979,157.10919088766693
3,2,5,5330,6852,22.2,187.6172607879925,145.94279042615295
6,2,5,5301,6430,17.6,188.64365214110543,155.52099533437016
5,2,5,5282,6525,19.0,189.3222264293828,153.2567049808429
13,3,5,4650,5593,16.9,215.0537634408602,178.79492222420885
14,2,5,5287,6216,14.9,189.14318138831095,160.87516087516087
11,2,5,5250,6361,17.5,190.47619047619048,157.20798616569724
8,2,5,5232,6411,18.4,191.131498470948,155.98190609889252
9,2,5,5226,6381,18.1,191.35093761959433,156.7152483936687
0,2,6,5743,7799,26.4,174.1250217656277,128.22156686754712
2,2,6,5507,7515,26.7,181.58707100054477,133.0671989354624
1,2,6,5631,7758,27.4,177.5883502042266,128.89920082495487
12,1,7,6913,8179,15.5,144.65499783017503,122.26433549333659
9,1,7,7328,8931,17.9,136.46288209606988,111.96954428395475
14,1,7,6891,8059,14.5,145.11681903932666,124.08487405385281
10,1,7,7152,8707,17.9,139.82102908277406,114.85012059262661
8,1,7,7524,9146,17.7,132.90802764486975,109.33741526350316
11,1,7,7099,8404,15.5,140.8649105507818,118.99095668729177
15,1,7,6683,7510,11.0,149.63339817447255,133.15579227696406
13,1,7,6932,8120,14.6,144.25851125216386,123.1527093596059
6,1,8,7953,10000,20.5,125.7387149503332,100.0
5,1,8,8150,10268,20.6,122.69938650306747,97.38994935722633
7,1,8,7749,9768,20.7,129.0489095367144,102.37510237510237
4,1,8,8363,10981,23.8,119.57431543704413,91.06638739641198
2,1,9,8907,11551,22.9,112.27124733355788,86.57259111765215
1,1,10,9890,13475,26.6,101.11223458038423,74.21150278293136
3,1,10,10456,11603,9.9,95.6388676358072,86.18460742911316
0,1,11,10626,14637,27.4,94.10878976096367,68.32001093120175
16,0,13,12661,12924,2.0,78.98270278808941,77.37542556484061
15,0,13,13144,13527,2.8,76.08034083992696,73.92622163081245
13,0,15,14746,15278,3.5,67.81500067815,65.45359340227779
