t2.large,c5.2xlarge,g4dn.xlarge,ssee,simulated_makespan
4,2,3,4,4.455596999999998
9,4,3,4,4.541938000000001
9,1,3,4,4.5150019999999955
2,3,3,4,4.432789999999995
0,3,3,4,4.4240699999999995
1,1,3,4,4.422991000000004
3,1,3,4,4.4300709999999945
5,0,3,4,4.535554000000002
9,2,3,4,4.552196999999999
1,2,3,4,4.395253000000013
7,2,3,4,4.5142250000000015
6,3,3,4,4.509346
6,2,3,4,4.516472
6,0,3,4,4.536879000000001
7,4,3,4,4.465375000000004
8,2,3,4,4.608511000000004
0,2,3,4,4.3995010000000025
4,4,3,4,4.422083000000004
3,0,3,4,4.462383999999982
5,1,3,4,4.488049000000005
5,2,3,4,4.490616999999999
0,0,3,4,4.404906999999988
4,0,3,4,4.481089999999995
6,4,3,4,4.4910320000000015
8,3,3,4,4.548105000000001
4,1,3,4,4.458541999999996
3,2,3,4,4.474348999999998
0,4,3,4,4.369149000000001
5,4,3,4,4.446117
10,3,3,4,4.584996999999998
2,1,3,4,4.437969000000002
1,3,3,4,4.429539000000001
1,0,3,4,4.460886000000007
6,1,3,4,4.490810999999996
2,0,3,4,4.522799999999997
7,1,3,4,4.531501999999998
7,0,3,4,4.567675000000002
12,0,3,4,4.574476999999998
2,4,3,4,4.377402
3,3,3,4,4.383407999999994
3,4,3,4,4.394154000000005
5,3,3,4,4.459281999999997
8,1,3,4,4.500172
8,0,3,4,4.562716999999999
7,3,3,4,4.536045999999997
2,2,3,4,4.410434000000001
8,4,3,4,4.514357999999998
1,4,3,4,4.360338000000001
0,1,3,4,4.393338999999997
10,2,3,4,4.607004999999999
4,3,3,4,4.460592000000002
9,0,3,4,4.565766000000002
10,1,2,5,5.201939000000004
0,4,2,5,5.008874000000012
8,3,2,5,5.070569000000006
10,0,3,5,4.611301000000002
4,0,2,5,5.395164
6,3,2,5,5.068987999999997
12,0,2,5,5.352837
7,2,2,5,5.166134999999994
3,1,2,5,5.299475
11,0,3,5,4.657630999999999
13,0,2,5,5.298201000000001
7,0,2,5,5.452291999999995
12,1,2,5,5.199951999999997
6,2,2,5,5.2267959999999976
7,3,2,5,5.134126000000002
10,3,2,5,5.1125340000000055
5,1,2,5,5.3333360000000045
2,2,2,5,5.189209999999999
10,0,2,5,5.3682750000000015
1,1,2,5,5.356570999999992
8,2,2,5,5.169536999999992
2,4,2,5,5.056578999999998
8,4,2,5,5.074284000000005
3,0,2,5,5.4221770000000005
6,0,2,5,5.4307030000000065
5,4,2,5,5.076321999999997
4,3,2,5,5.128115999999993
11,2,2,5,5.2284640000000016
5,2,2,5,5.188421000000001
4,2,2,5,5.344816000000003
1,4,2,5,4.999460000000008
10,1,3,5,4.639588
5,0,2,5,5.396320999999992
12,2,2,5,5.212298999999996
3,4,2,5,5.016400000000003
9,3,3,5,4.633465999999999
13,0,3,5,4.725373999999997
10,2,2,5,5.213529
5,3,2,5,5.161559
4,4,2,5,4.989987999999997
6,1,2,5,5.367691000000001
7,4,2,5,5.011533999999998
7,1,2,5,5.316189999999998
11,2,3,5,4.630958999999999
4,1,2,5,5.408542000000007
6,4,2,5,5.043496000000001
9,4,2,5,5.058129999999999
14,0,2,5,5.300623000000002
11,1,2,5,5.252847999999998
0,1,2,5,5.351025000000016
9,3,2,5,5.064225999999996
9,2,2,5,5.156622000000004
0,2,2,5,5.266634000000003
8,1,2,5,5.2620049999999985
1,2,2,5,5.317222000000006
11,0,2,5,5.360770000000002
13,1,2,5,5.340521999999998
0,3,2,5,5.117601999999986
2,3,2,5,5.214590000000005
8,0,2,5,5.425640999999993
11,3,2,5,5.218245999999999
9,0,2,5,5.358963999999995
9,1,2,5,5.284661999999996
11,1,3,5,4.694591999999995
3,3,2,5,5.125210999999998
3,2,2,5,5.313377000000004
10,4,2,5,5.161317999999997
12,1,3,5,4.657444999999998
1,3,2,5,5.182624999999991
2,1,2,5,5.387365000000003
8,4,1,6,6.353170000000002
9,4,1,6,6.264769000000008
7,4,1,6,6.3904849999999955
11,4,1,6,6.101558000000001
12,2,1,6,6.4012210000000085
0,0,2,6,5.746824999999995
8,3,1,6,6.418362000000011
2,0,2,6,5.550599
1,0,2,6,5.630621999999993
6,4,1,6,6.4568499999999895
5,4,1,6,6.485593999999996
9,3,1,6,6.3512309999999985
11,3,1,6,6.505576999999996
10,4,1,6,6.226476
9,2,1,6,6.57764300000001
12,3,1,6,6.385178000000002
13,2,1,6,6.600701999999993
10,3,1,6,6.440955999999997
3,4,1,6,6.413035999999992
12,1,1,6,6.589107000000001
2,4,1,7,6.730542000000002
7,1,1,7,7.298671999999984
7,3,1,7,6.705839999999995
12,0,1,7,7.039042000000003
5,3,1,7,6.820309999999991
9,0,1,7,7.463243000000004
5,2,1,7,6.977721999999995
14,0,1,7,7.033301999999987
4,2,1,7,7.206569999999992
6,1,1,7,7.406625000000012
3,2,1,7,7.309769000000009
7,2,1,7,6.8446980000000055
4,3,1,7,6.7528389999999945
10,0,1,7,7.2725790000000154
8,0,1,7,7.590357000000005
8,1,1,7,7.077090999999992
9,1,1,7,6.974568999999995
8,2,1,7,6.803558000000003
11,0,1,7,7.167650000000005
10,1,1,7,6.948694999999998
1,3,1,7,7.219391999999984
11,2,1,7,6.675955999999999
0,3,1,7,7.243290000000028
6,2,1,7,6.90391599999999
14,1,1,7,6.656498999999995
