t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
11,2,3,2,2282,5048,54.8
10,3,3,2,2326,5020,53.7
0,2,3,2,2498,5446,54.1
5,1,3,2,2485,5683,56.3
5,2,3,2,2441,5628,56.6
5,4,3,2,2298,5000,54.0
0,3,3,2,2498,5417,53.9
0,4,3,2,2417,5174,53.3
8,3,3,2,2337,5095,54.1
6,4,3,2,2357,5107,53.8
4,4,3,2,2320,5133,54.8
8,2,3,2,2413,5297,54.4
6,2,3,2,2406,5522,56.4
13,0,3,2,2401,5593,57.1
7,2,3,2,2459,5276,53.4
9,2,3,2,2348,5359,56.2
10,1,3,2,2408,5443,55.8
2,3,3,2,2452,5611,56.3
9,1,3,2,2406,5577,56.9
9,4,3,2,2205,5038,56.2
7,4,3,2,2255,5023,55.1
4,3,3,2,2396,5301,54.8
1,4,3,2,2386,5253,54.6
5,3,3,2,2287,5518,58.6
9,3,3,2,2439,5121,52.4
3,4,3,2,2336,5052,53.8
11,0,3,2,2472,5634,56.1
3,3,3,2,2433,5445,55.3
6,3,3,2,2357,5317,55.7
1,3,3,2,2442,5571,56.2
4,2,3,2,2455,5626,56.4
8,1,3,2,2430,5574,56.4
12,0,3,2,2398,5399,55.6
2,4,3,2,2337,5221,55.2
10,2,3,2,2310,5218,55.7
8,4,3,2,2327,5035,53.8
12,1,3,2,2401,5059,52.5
11,1,3,2,2374,5451,56.4
7,3,3,2,2377,5092,53.3
6,1,2,3,3100,6423,51.7
13,1,1,3,3496,7456,53.1
11,4,1,3,3112,6855,54.6
4,4,2,3,2788,5972,53.3
5,3,2,3,2799,6247,55.2
2,2,3,3,2551,5698,55.2
6,4,1,3,3268,7482,56.3
0,1,3,3,2643,5596,52.8
1,2,3,3,2524,5705,55.8
12,2,2,3,2757,5664,51.3
10,2,2,3,2800,6141,54.4
14,1,1,3,3387,7571,55.3
6,0,3,3,2574,5708,54.9
2,0,3,3,2721,5912,54.0
15,0,1,3,3465,7510,53.9
10,4,2,3,2633,5673,53.6
13,0,2,3,2855,6240,54.2
2,2,2,3,3148,6518,51.7
7,2,2,3,2914,6291,53.7
12,0,2,3,2914,6368,54.2
10,0,2,3,3025,6365,52.5
6,3,2,3,2751,6058,54.6
0,4,2,3,2962,5971,50.4
8,3,2,3,2706,5978,54.7
10,3,1,3,3272,7448,56.1
3,1,2,3,3160,6575,51.9
9,0,3,3,2521,5665,55.5
7,4,2,3,2699,5678,52.5
10,0,3,3,2557,5767,55.7
2,1,2,3,3243,6986,53.6
9,4,2,3,2586,5649,54.2
1,4,2,3,2934,6013,51.2
5,0,2,3,3235,6525,50.4
12,2,1,3,3321,7154,53.6
3,4,2,3,2886,6249,53.8
3,2,2,3,3073,6412,52.1
1,1,2,3,3313,7345,54.9
1,0,3,3,2699,5992,55.0
7,1,3,3,2507,5604,55.3
10,1,2,3,2864,6200,53.8
3,3,2,3,3000,6367,52.9
9,4,1,3,3230,6900,53.2
5,4,1,3,3420,7633,55.2
7,0,2,3,3159,6480,51.2
8,0,3,3,2518,5654,55.5
12,1,2,3,2792,6059,53.9
5,1,2,3,3049,6393,52.3
3,1,3,3,2524,5779,56.3
12,3,1,3,3191,6972,54.2
4,3,2,3,2948,6332,53.4
4,1,3,3,2512,5724,56.1
4,2,2,3,3036,6403,52.6
5,2,2,3,2979,6284,52.6
7,4,1,3,3362,7532,55.4
11,2,2,3,2692,5861,54.1
5,4,2,3,2723,5979,54.5
1,3,2,3,3031,6405,52.7
6,0,2,3,3193,6430,50.3
8,4,2,3,2663,5674,53.1
2,4,2,3,2915,6331,54.0
8,2,2,3,2867,6249,54.1
4,0,2,3,3293,6625,50.3
3,0,2,3,3352,6852,51.1
7,3,1,3,3421,7855,56.4
2,1,3,3,2561,5767,55.6
3,2,3,3,2501,5685,56.0
3,0,3,3,2622,5866,55.3
11,3,1,3,3290,7438,55.8
5,0,3,3,2568,5759,55.4
14,0,2,3,2897,6216,53.4
0,2,2,3,3159,6700,52.9
9,1,2,3,3081,6268,50.8
11,3,2,3,2615,5688,54.0
4,0,3,3,2572,5836,55.9
9,2,2,3,2792,6215,55.1
9,0,2,3,3020,6381,52.7
12,1,1,3,3445,7522,54.2
2,0,2,3,3482,7515,53.7
0,0,3,3,2696,5770,53.3
7,0,3,3,2523,5725,55.9
4,1,2,3,3150,6561,52.0
10,4,1,3,3157,6939,54.5
0,3,2,3,2978,6261,52.4
11,2,1,3,3398,7572,55.1
13,1,2,3,2837,6207,54.3
1,2,2,3,3203,6693,52.1
8,4,1,3,3167,7374,57.1
9,3,2,3,2665,5683,53.1
6,3,1,3,3477,8013,56.6
9,2,1,3,3489,7593,54.0
8,3,1,3,3428,7458,54.0
6,4,2,3,2684,5659,52.6
1,1,3,3,2636,5826,54.8
0,1,2,3,3381,6951,51.4
8,0,2,3,3071,6411,52.1
7,3,2,3,2840,5903,51.9
8,1,2,3,3017,6348,52.5
9,3,1,3,3339,7248,53.9
11,1,2,3,2901,6246,53.6
6,2,2,3,2908,6293,53.8
6,1,3,3,2501,5681,56.0
11,0,2,3,3055,6361,52.0
7,1,2,3,2998,6377,53.0
2,3,2,3,2972,6394,53.5
13,2,1,3,3385,7556,55.2
10,3,2,3,2684,5681,52.8
10,2,1,3,3343,7602,56.0
7,2,1,4,3652,8149,55.2
8,0,1,4,4110,9146,55.1
15,1,0,4,4484,11675,61.6
8,1,1,4,3792,8518,55.5
4,3,1,4,3624,8189,55.7
8,4,0,4,4289,10818,60.4
5,1,1,4,4143,9397,55.9
3,2,1,4,4204,9218,54.4
3,3,1,4,3758,8310,54.8
6,1,1,4,3974,9020,55.9
11,4,0,4,3931,9855,60.1
5,3,1,4,3573,8135,56.1
14,0,1,4,3550,8059,55.9
5,2,1,4,3790,8293,54.3
12,0,1,4,3645,8179,55.4
6,4,0,4,4461,11643,61.7
4,2,1,4,3955,8849,55.3
2,2,1,4,4238,9523,55.5
0,0,2,4,3736,7799,52.1
3,4,1,4,3560,7588,53.1
8,2,1,4,3564,8020,55.6
2,4,1,4,3678,8125,54.7
7,1,1,4,3933,8866,55.6
10,4,0,4,4148,10294,59.7
13,2,0,4,4312,11236,61.6
11,0,1,4,3781,8404,55.0
9,1,1,4,3672,8289,55.7
0,4,1,4,3919,8215,52.3
1,0,2,4,3576,7758,53.9
11,1,1,4,3572,8101,55.9
10,0,1,4,3823,8707,56.1
13,3,0,4,3980,10427,61.8
13,0,1,4,3591,8120,55.8
10,3,0,4,4361,11178,61.0
12,4,0,4,3826,9754,60.8
6,2,1,4,3700,8225,55.0
1,4,1,4,3717,8168,54.5
12,2,0,4,4519,11660,61.2
7,0,1,4,4376,9768,55.2
9,0,1,4,3973,8931,55.5
9,4,0,4,4218,10538,60.0
0,3,1,4,4123,8959,54.0
4,4,1,4,3578,7909,54.8
12,3,0,4,4075,10384,60.8
14,2,0,4,4097,10903,62.4
11,3,0,4,4234,10873,61.1
1,3,1,4,3961,8921,55.6
2,3,1,4,3796,8469,55.2
7,4,0,4,4257,11292,62.3
14,1,0,4,4505,12432,63.8
4,1,1,4,4343,9834,55.8
10,1,1,4,3626,8097,55.2
1,2,1,4,4367,9898,55.9
15,0,0,5,4825,13527,64.3
13,1,0,5,4742,13220,64.1
1,1,1,5,5073,11272,55.0
3,1,1,5,4512,10233,55.9
13,0,0,5,5327,15278,65.1
8,2,0,5,5359,14645,63.4
10,1,0,5,5499,15463,64.4
9,3,0,5,4637,11764,60.6
3,4,0,5,5189,13911,62.7
4,4,0,5,4886,13398,63.5
0,2,1,5,4588,9834,53.3
5,4,0,5,4651,12286,62.1
2,1,1,5,4763,10720,55.6
8,3,0,5,4738,12637,62.5
16,0,0,5,4726,12924,63.4
4,0,1,5,4862,10981,55.7
5,0,1,5,4668,10268,54.5
12,1,0,5,4848,13574,64.3
10,2,0,5,4836,13159,63.2
6,0,1,5,4557,10000,54.4
7,3,0,5,4923,13404,63.3
11,2,0,5,4535,12269,63.0
5,3,0,5,5456,14864,63.3
1,0,1,6,6233,13475,53.7
2,0,1,6,5635,11551,51.2
3,0,1,6,6341,11603,45.4
0,1,1,6,5633,11281,50.1
0,0,1,7,7022,14637,52.0
