t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
11,2,3,3,3146,10660,70.5
8,4,2,3,3498,10652,67.2
9,4,2,3,3352,10653,68.5
7,4,3,3,2969,10655,72.1
9,4,3,3,2876,10642,73.0
2,3,3,3,3318,10523,68.5
9,2,3,3,3329,10622,68.7
1,2,3,3,3351,10553,68.2
7,2,3,3,3462,10629,67.4
13,0,3,3,3505,10681,67.2
1,3,3,3,3163,10560,70.0
4,3,3,3,3276,10590,69.1
6,2,3,3,3492,10638,67.2
6,3,3,3,3223,10643,69.7
4,4,3,3,3093,10599,70.8
10,3,3,3,3022,10697,71.7
0,2,3,3,3066,10516,70.8
6,4,3,3,2968,10635,72.1
8,3,3,3,3104,10591,70.7
0,4,3,3,2843,10522,73.0
0,0,3,3,2934,10496,72.0
0,3,3,3,3000,10504,71.4
5,4,3,3,3046,10593,71.2
8,2,3,3,3395,10651,68.1
1,4,3,3,3022,10522,71.3
11,3,2,3,3447,10680,67.7
5,3,3,3,3262,10622,69.3
11,1,3,3,3406,10665,68.1
12,1,3,3,3346,10644,68.6
0,1,3,3,3049,10509,71.0
2,2,3,3,3490,10558,66.9
7,3,3,3,3180,10644,70.1
9,3,3,3,3060,10625,71.2
3,4,3,3,3026,10592,71.4
3,3,3,3,3308,10570,68.7
2,4,3,3,3093,10593,70.8
10,4,2,3,3247,10666,69.6
10,2,3,3,3228,10674,69.8
8,4,3,3,2936,10639,72.4
4,1,3,4,4021,10605,62.1
10,3,1,4,4367,10677,59.1
8,3,2,4,3774,10642,64.5
3,0,3,4,4442,10573,58.0
0,4,2,4,3798,10516,63.9
10,0,3,4,3954,10649,62.9
6,3,2,4,4019,10622,62.2
12,0,2,4,4425,10645,58.4
10,3,2,4,3593,10666,66.3
12,1,2,4,4000,10653,62.5
7,3,2,4,3944,10653,63.0
11,0,3,4,3780,10667,64.6
8,0,3,4,4125,10663,61.3
6,2,2,4,4475,10595,57.8
13,0,2,4,4234,10694,60.4
9,4,1,4,4106,10634,61.4
12,4,0,4,4356,10630,59.0
3,2,3,4,3603,10615,66.1
7,2,2,4,4282,10612,59.6
6,0,3,4,4377,10597,58.7
10,1,2,4,4327,10623,59.3
8,2,2,4,4173,10660,60.9
2,4,2,4,3796,10525,63.9
12,3,1,4,3949,10678,63.0
2,1,3,4,3944,10574,62.7
7,1,3,4,3832,10656,64.0
12,2,1,4,4375,10666,59.0
5,4,2,4,3764,10594,64.5
11,2,2,4,3767,10640,64.6
9,1,3,4,3591,10641,66.3
3,4,2,4,3838,10580,63.7
7,4,2,4,3577,10584,66.2
7,4,1,4,4416,10640,58.5
3,1,3,4,3952,10558,62.6
9,1,2,4,4493,10601,57.6
12,2,2,4,3631,10658,65.9
10,2,2,4,3913,10643,63.2
1,0,3,4,3782,10525,64.1
5,3,2,4,4022,10625,62.1
4,4,2,4,3767,10579,64.4
11,4,1,4,3829,10633,64.0
14,1,1,4,4460,10679,58.2
4,3,2,4,4195,10589,60.4
1,4,2,4,3797,10527,63.9
10,1,3,4,3534,10649,66.8
11,3,1,4,4132,10683,61.3
4,2,3,4,3677,10595,65.3
8,1,3,4,3734,10637,64.9
10,4,1,4,3923,10630,63.1
5,1,3,4,4025,10587,62.0
13,2,1,4,4176,10649,60.8
11,1,2,4,4130,10626,61.1
9,3,1,4,4409,10616,58.5
0,0,2,4,4280,10495,59.2
12,0,3,4,3616,10642,66.0
9,3,2,4,3664,10637,65.6
0,2,2,4,4327,10500,58.8
8,4,1,4,4148,10618,60.9
1,1,3,4,3561,10563,66.3
13,1,2,4,3822,10681,64.2
0,3,2,4,3917,10501,62.7
5,0,3,4,4457,10588,57.9
14,0,2,4,4020,10670,62.3
2,3,2,4,4242,10579,59.9
7,0,3,4,4251,10601,59.9
6,4,2,4,3657,10623,65.6
9,0,3,4,4021,10636,62.2
9,2,2,4,4037,10668,62.2
4,0,3,4,4488,10579,57.6
3,3,2,4,4220,10585,60.1
6,1,3,4,3892,10608,63.3
1,3,2,4,4190,10514,60.1
5,2,3,4,3612,10619,66.0
2,0,3,4,4246,10536,59.7
5,1,2,5,5355,10551,49.2
5,4,1,5,4655,10600,56.1
2,4,1,5,5168,10520,50.9
7,3,1,5,4986,10650,53.2
3,2,2,5,4845,10540,54.0
8,2,1,5,5316,10596,49.8
13,1,1,5,4654,10670,56.4
6,1,2,5,5136,10579,51.5
8,4,0,5,5410,10654,49.2
11,0,2,5,4625,10604,56.4
8,1,2,5,4726,10603,55.4
5,3,1,5,5390,10606,49.2
8,0,2,5,5353,10614,49.6
0,1,2,5,4531,10510,56.9
12,3,0,5,4866,10637,54.3
4,2,2,5,4721,10574,55.4
5,2,2,5,4697,10585,55.6
1,1,2,5,5275,10541,50.0
15,1,0,5,5311,11205,52.6
9,4,0,5,5033,10661,52.8
9,2,1,5,5041,10642,52.6
14,0,1,5,4935,10661,53.7
13,3,0,5,4610,10712,57.0
3,4,1,5,5059,10596,52.3
11,4,0,5,4575,10675,57.1
10,4,0,5,4763,10630,55.2
6,4,1,5,4550,10592,57.0
14,2,0,5,4964,10671,53.5
10,2,1,5,4761,10663,55.4
6,3,1,5,5079,10601,52.1
4,4,1,5,4915,10556,53.4
2,2,2,5,4750,10531,54.9
11,2,1,5,4588,10639,56.9
8,3,1,5,4728,10631,55.5
13,2,0,5,5272,10944,51.8
11,3,0,5,5169,10679,51.6
0,4,1,5,5169,10515,50.8
1,2,2,5,4715,10501,55.1
11,1,1,5,5137,10617,51.6
15,0,1,5,4710,10689,55.9
12,1,1,5,4910,10651,53.9
10,0,2,5,4886,10612,54.0
13,0,1,5,5272,10633,50.4
10,1,1,5,5504,10617,48.2
10,3,0,5,5473,10836,49.5
1,4,1,5,5223,10543,50.5
9,0,2,5,5063,10616,52.3
7,1,2,5,4900,10617,53.8
4,1,2,5,5482,10577,48.2
12,0,1,6,5574,10681,47.8
5,2,1,6,6343,10631,40.3
1,3,1,6,6200,10535,41.1
6,4,0,6,6091,11322,46.2
5,0,2,6,6275,10561,40.6
14,1,0,6,5678,11575,50.9
8,3,0,6,6255,11622,46.2
9,1,1,6,5792,10629,45.5
2,1,2,6,5620,10563,46.8
1,0,2,6,6100,10536,42.1
15,0,0,6,6104,12831,52.4
10,0,1,6,6378,10665,40.2
4,3,1,6,5602,10550,46.9
7,0,2,6,5689,10599,46.3
9,3,0,6,5936,11235,47.2
6,0,2,6,5975,10575,43.5
12,2,0,6,5655,11268,49.8
10,2,0,6,6448,12230,47.3
16,0,0,6,5745,12114,52.6
5,4,0,6,6549,11657,43.8
0,3,1,6,5939,10507,43.5
8,1,1,6,6237,10609,41.2
7,4,0,6,5687,10990,48.3
12,1,0,6,6487,12848,49.5
13,1,0,6,6098,12221,50.1
2,3,1,6,6047,10556,42.7
11,2,0,6,5976,11613,48.5
6,2,1,6,6026,10617,43.2
11,0,1,6,6019,10591,43.2
7,2,1,6,5612,10599,47.1
3,1,2,6,5612,10579,47.0
3,3,1,6,5837,10547,44.7
2,2,1,7,7440,10591,29.8
8,2,0,7,7381,13761,46.4
4,4,0,7,6990,12360,43.4
9,0,1,7,6886,10632,35.2
4,2,1,7,6725,10548,36.2
7,1,1,7,6664,10589,37.1
3,2,1,7,7086,10558,32.9
3,0,2,7,6682,10574,36.8
0,2,1,7,7068,10526,32.9
4,0,2,7,6523,10580,38.3
3,4,0,7,7352,13185,44.2
2,0,2,7,6555,10542,37.8
6,1,1,7,7173,10567,32.1
7,3,0,7,6751,12348,45.3
13,0,0,7,7033,14717,52.2
8,0,1,7,7545,10602,28.8
10,1,0,8,7524,14714,48.9
5,1,1,8,7732,10580,26.9
7,0,1,8,8197,10616,22.8
4,1,1,8,8436,10571,20.2
1,2,1,8,7516,10555,28.8
5,3,0,8,7785,13892,44.0
3,1,1,9,9022,10608,15.0
6,0,1,9,9054,10580,14.4
0,0,1,9,8538,12424,31.3
0,1,1,9,8523,10594,19.5
5,0,1,10,9979,10640,6.2
1,1,1,10,9793,10557,7.2
2,1,1,10,9507,10579,10.1
4,0,1,11,11064,10576,4.6
3,0,1,12,12346,10723,15.1
2,0,1,13,13439,11234,19.6
1,0,1,14,13622,11665,16.8
