InstanceType,vCPU,Memory,GPUType,GPUCount,GPUMemory
r6in.metal,128,1048576,,,
m6gd.xlarge,4,16384,,,
r6id.16xlarge,64,524288,,,
r6id.2xlarge,8,65536,,,
m5zn.6xlarge,24,98304,,,
c6in.24xlarge,96,196608,,,
c7g.8xlarge,32,65536,,,
hpc6id.32xlarge,64,1048576,,,
c6i.4xlarge,16,32768,,,
x2iedn.2xlarge,8,262144,,,
x2gd.metal,64,1048576,,,
r6id.xlarge,4,32768,,,
i3en.12xlarge,48,393216,,,
r6a.metal,192,1572864,,,
r5a.xlarge,4,32768,,,
m6gd.medium,1,4096,,,
m7g.4xlarge,16,65536,,,
m7g.large,2,8192,,,
t2.2xlarge,8,32768,,,
x1e.2xlarge,8,249856,,,
is4gen.xlarge,4,24576,,,
i4g.xlarge,4,32768,,,
r6gd.xlarge,4,32768,,,
m5a.2xlarge,8,32768,,,
t4g.nano,2,512,,,
m5n.16xlarge,64,262144,,,
m6gd.12xlarge,48,196608,,,
r6g.16xlarge,64,524288,,,
im4gn.2xlarge,8,32768,,,
m6idn.large,2,8192,,,
c5ad.24xlarge,96,196608,,,
m6id.12xlarge,48,196608,,,
z1d.2xlarge,8,65536,,,
m6id.2xlarge,8,32768,,,
c6a.16xlarge,64,131072,,,
m5dn.2xlarge,8,32768,,,
m5.8xlarge,32,131072,,,
m6idn.12xlarge,48,196608,,,
r6g.medium,1,8192,,,
r6g.large,2,16384,,,
c6i.large,2,4096,,,
m6a.2xlarge,8,32768,,,
c4.4xlarge,16,30720,,,
r6a.xlarge,4,32768,,,
im4gn.8xlarge,32,131072,,,
r5ad.24xlarge,96,786432,,,
c6i.8xlarge,32,65536,,,
c6g.16xlarge,64,131072,,,
c5ad.4xlarge,16,32768,,,
c6a.24xlarge,96,196608,,,
r6i.xlarge,4,32768,,,
r6idn.16xlarge,64,524288,,,
g3.16xlarge,64,499712,M60,4.0,8192.0
m6id.xlarge,4,16384,,,
m5dn.12xlarge,48,196608,,,
m5ad.12xlarge,48,196608,,,
r6idn.2xlarge,8,65536,,,
m6a.large,2,8192,,,
x2gd.8xlarge,32,524288,,,
m6gd.4xlarge,16,65536,,,
r6gd.2xlarge,8,65536,,,
d2.8xlarge,36,249856,,,
m5dn.large,2,8192,,,
r6gd.medium,1,8192,,,
c6a.48xlarge,192,393216,,,
x1e.8xlarge,32,999424,,,
m5d.8xlarge,32,131072,,,
r6g.8xlarge,32,262144,,,
r3.large,2,15360,,,
r5a.2xlarge,8,65536,,,
c5n.2xlarge,8,21504,,,
r6a.2xlarge,8,65536,,,
i3en.3xlarge,12,98304,,,
is4gen.4xlarge,16,98304,,,
r6in.24xlarge,96,786432,,,
c6in.xlarge,4,8192,,,
r5dn.8xlarge,32,262144,,,
m4.4xlarge,16,65536,,,
x1e.32xlarge,128,3997696,,,
c6id.8xlarge,32,65536,,,
m5a.16xlarge,64,262144,,,
m5zn.2xlarge,8,32768,,,
x2iedn.xlarge,4,131072,,,
inf2.48xlarge,192,786432,,,
c4.8xlarge,36,61440,,,
i2.2xlarge,8,62464,,,
c6gn.16xlarge,64,131072,,,
m6i.large,2,8192,,,
r4.16xlarge,64,499712,,,
i4i.16xlarge,64,524288,,,
m5d.xlarge,4,16384,,,
m5a.4xlarge,16,65536,,,
c5d.large,2,4096,,,
i3en.24xlarge,96,786432,,,
c6i.32xlarge,128,262144,,,
r6in.12xlarge,48,393216,,,
r5n.12xlarge,48,393216,,,
r5.24xlarge,96,786432,,,
c5ad.12xlarge,48,98304,,,
c6gd.metal,64,131072,,,
c6in.12xlarge,48,98304,,,
c5a.4xlarge,16,32768,,,
c5ad.16xlarge,64,131072,,,
m6a.metal,192,786432,,,
r6idn.xlarge,4,32768,,,
m6g.xlarge,4,16384,,,
m6in.32xlarge,128,524288,,,
inf2.8xlarge,32,131072,,,
c5n.large,2,5376,,,
m5.xlarge,4,16384,,,
im4gn.xlarge,4,16384,,,
t3.xlarge,4,16384,,,
i4i.metal,128,1048576,,,
c5.xlarge,4,8192,,,
m5ad.large,2,8192,,,
r5b.metal,96,786432,,,
a1.large,2,4096,,,
c6gn.xlarge,4,8192,,,
m5ad.4xlarge,16,65536,,,
