t2.large,c5.2xlarge,g4dn.xlarge,total,price,see
6,4,3,13,3.49,2
8,3,3,14,3.34,2
9,4,3,16,3.77,2
9,3,3,15,3.43,2
8,4,3,15,3.68,2
11,2,3,16,3.28,2
10,3,3,16,3.53,2
7,4,3,14,3.59,2
6,3,3,12,3.15,3
5,3,3,11,3.06,3
5,4,2,11,2.88,3
6,0,3,9,2.13,3
6,1,3,10,2.47,3
11,2,2,15,2.75,3
6,2,3,11,2.81,3
6,3,2,11,2.63,3
11,1,3,15,2.94,3
5,4,3,12,3.4,3
11,3,2,16,3.09,3
4,4,3,11,3.31,3
5,1,3,9,2.38,3
4,4,2,10,2.78,3
4,3,3,10,2.97,3
12,0,3,15,2.69,3
4,2,3,9,2.63,3
4,1,3,8,2.29,3
12,1,2,15,2.51,3
4,0,3,7,1.95,3
12,1,3,16,3.03,3
3,4,3,10,3.22,3
3,3,3,9,2.88,3
3,2,3,8,2.54,3
5,2,3,10,2.72,3
11,1,2,14,2.41,3
11,0,3,14,2.6,3
7,0,3,10,2.23,3
10,0,3,13,2.51,3
10,1,3,14,2.85,3
9,4,2,15,3.25,3
9,3,2,14,2.91,3
9,2,3,14,3.09,3
9,2,2,13,2.57,3
10,2,2,14,2.66,3
9,1,3,13,2.75,3
10,2,3,15,3.19,3
9,0,3,12,2.41,3
8,4,2,14,3.15,3
6,4,2,12,2.97,3
8,3,2,13,2.81,3
8,2,3,13,3.0,3
8,2,2,12,2.47,3
8,1,3,12,2.66,3
8,0,3,11,2.32,3
7,4,2,13,3.06,3
10,4,2,16,3.34,3
7,3,3,13,3.25,3
7,3,2,12,2.72,3
7,2,3,12,2.91,3
7,1,3,11,2.57,3
12,2,2,16,2.85,3
10,3,2,15,3.0,3
3,1,3,7,2.2,3
5,0,3,8,2.04,3
2,4,3,9,3.12,3
2,3,3,8,2.78,3
0,1,3,4,1.92,3
2,1,3,6,2.1,3
0,2,3,5,2.26,3
1,2,3,6,2.35,3
0,3,3,6,2.6,3
0,4,3,7,2.94,3
13,0,3,16,2.78,3
13,0,2,15,2.26,3
1,1,3,5,2.01,3
1,3,3,7,2.69,3
13,1,2,16,2.6,3
3,0,3,6,1.86,3
14,0,2,16,2.35,3
2,2,3,7,2.44,3
1,4,3,8,3.03,3
2,0,3,5,1.76,3
5,1,2,8,1.86,4
9,1,2,12,2.23,4
5,0,2,7,1.52,4
10,1,2,13,2.32,4
11,4,1,16,2.91,4
10,4,1,15,2.81,4
8,0,2,10,1.79,4
0,4,2,6,2.41,4
5,2,2,9,2.2,4
0,3,2,5,2.07,4
5,3,2,10,2.54,4
1,3,2,6,2.16,4
6,0,2,8,1.61,4
6,1,2,9,1.95,4
9,0,2,11,1.89,4
2,2,2,6,1.92,4
7,0,2,9,1.7,4
12,0,2,14,2.17,4
1,0,3,4,1.67,4
3,1,2,6,1.67,4
10,0,2,12,1.98,4
3,2,2,7,2.01,4
12,3,1,16,2.66,4
0,0,3,3,1.58,4
3,3,2,8,2.35,4
1,4,2,7,2.5,4
2,4,2,8,2.6,4
8,1,2,11,2.13,4
7,2,2,11,2.38,4
3,4,2,9,2.69,4
11,0,2,13,2.07,4
4,3,2,9,2.44,4
7,1,2,10,2.04,4
