task_type,arrival_time,metadata
image_classification,0.008,sample_image.jpg
image_classification,0.011,sample_image.jpg
image_classification,0.017,sample_image.jpg
image_classification,0.035,sample_image.jpg
image_classification,0.035,sample_image.jpg
image_classification,0.037,sample_image.jpg
image_classification,0.048,sample_image.jpg
image_classification,0.065,sample_image.jpg
image_classification,0.067,sample_image.jpg
image_classification,0.075,sample_image.jpg
image_classification,0.097,sample_image.jpg
image_classification,0.1,sample_image.jpg
image_classification,0.102,sample_image.jpg
image_classification,0.103,sample_image.jpg
image_classification,0.105,sample_image.jpg
image_classification,0.144,sample_image.jpg
image_classification,0.161,sample_image.jpg
image_classification,0.162,sample_image.jpg
image_classification,0.179,sample_image.jpg
image_classification,0.183,sample_image.jpg
image_classification,0.188,sample_image.jpg
image_classification,0.216,sample_image.jpg
image_classification,0.233,sample_image.jpg
image_classification,0.238,sample_image.jpg
image_classification,0.239,sample_image.jpg
image_classification,0.244,sample_image.jpg
image_classification,0.244,sample_image.jpg
image_classification,0.247,sample_image.jpg
image_classification,0.263,sample_image.jpg
image_classification,0.263,sample_image.jpg
image_classification,0.272,sample_image.jpg
image_classification,0.282,sample_image.jpg
image_classification,0.283,sample_image.jpg
image_classification,0.287,sample_image.jpg
image_classification,0.288,sample_image.jpg
image_classification,0.31,sample_image.jpg
image_classification,0.35,sample_image.jpg
image_classification,0.35,sample_image.jpg
image_classification,0.372,sample_image.jpg
image_classification,0.381,sample_image.jpg
image_classification,0.394,sample_image.jpg
image_classification,0.404,sample_image.jpg
image_classification,0.413,sample_image.jpg
image_classification,0.413,sample_image.jpg
image_classification,0.416,sample_image.jpg
image_classification,0.424,sample_image.jpg
image_classification,0.438,sample_image.jpg
image_classification,0.441,sample_image.jpg
image_classification,0.444,sample_image.jpg
image_classification,0.464,sample_image.jpg
image_classification,0.5,sample_image.jpg
image_classification,0.522,sample_image.jpg
image_classification,0.527,sample_image.jpg
image_classification,0.536,sample_image.jpg
image_classification,0.54,sample_image.jpg
image_classification,0.544,sample_image.jpg
image_classification,0.546,sample_image.jpg
image_classification,0.549,sample_image.jpg
image_classification,0.549,sample_image.jpg
image_classification,0.556,sample_image.jpg
image_classification,0.561,sample_image.jpg
image_classification,0.57,sample_image.jpg
image_classification,0.58,sample_image.jpg
image_classification,0.582,sample_image.jpg
image_classification,0.609,sample_image.jpg
image_classification,0.638,sample_image.jpg
image_classification,0.647,sample_image.jpg
image_classification,0.652,sample_image.jpg
image_classification,0.657,sample_image.jpg
image_classification,0.659,sample_image.jpg
image_classification,0.662,sample_image.jpg
image_classification,0.665,sample_image.jpg
image_classification,0.667,sample_image.jpg
image_classification,0.701,sample_image.jpg
image_classification,0.732,sample_image.jpg
image_classification,0.741,sample_image.jpg
image_classification,0.755,sample_image.jpg
image_classification,0.759,sample_image.jpg
image_classification,0.76,sample_image.jpg
image_classification,0.766,sample_image.jpg
image_classification,0.773,sample_image.jpg
image_classification,0.774,sample_image.jpg
image_classification,0.781,sample_image.jpg
image_classification,0.83,sample_image.jpg
image_classification,0.835,sample_image.jpg
image_classification,0.839,sample_image.jpg
image_classification,0.855,sample_image.jpg
image_classification,0.869,sample_image.jpg
image_classification,0.873,sample_image.jpg
image_classification,0.883,sample_image.jpg
image_classification,0.891,sample_image.jpg
image_classification,0.895,sample_image.jpg
image_classification,0.896,sample_image.jpg
image_classification,0.9,sample_image.jpg
image_classification,0.906,sample_image.jpg
image_classification,0.916,sample_image.jpg
image_classification,0.919,sample_image.jpg
